[22:31:43] MySQL Database Connected
[22:31:45] 16 Breeds catched
[22:31:45] 256 Heads catched
[22:31:45] 561 Effects catched
[22:32:01] 11260 DofusMaps catched
[22:32:02] 454 StatedElements catched
[22:32:02] 802 InteractiveElements catched
[22:32:02] 74 HouseInformations catched
[22:32:02] 120 InteractiveDoors catched
[22:32:02] 3614 MapPositions uncatched
[22:32:02] 14681 MapPositions catched
[22:32:02] 42 MapZaaps catched
[22:32:02] 15228 SpellLevels catched 
[22:32:02] 4772 Spells catched 
[22:32:02] 1179 LearnableSpells catched 
[22:32:03] 9780 ItemTemplates catched 
[22:32:03] 4489 Weapons catched 
[22:32:03] 363 ItemSets catched 
[22:32:03] 171 ItemTypes catched 
[22:32:03] 110 ItemPets catched 
[22:32:04] 2476 NpcTemplates catched 
[22:32:04] 138 NpcSpawns catched 
[22:32:04] 50 NpcItems catched 
[22:32:04] 19801 NpcMessages catched 
[22:32:04] 7 NpcReplies catched 
[22:32:04] 18 Triggers catched
[22:32:09] 69 Handlers Readed
[22:32:14] 96 Messages Readed
[22:32:15] WorldServer start in 34807 ms.
[22:44:45] MySQL Database Connected
[22:44:45] 16 Breeds catched
[22:44:45] 256 Heads catched
[22:44:45] 561 Effects catched
[22:44:53] 11260 DofusMaps catched
[22:44:53] 454 StatedElements catched
[22:44:53] 802 InteractiveElements catched
[22:44:53] 74 HouseInformations catched
[22:44:53] 120 InteractiveDoors catched
[22:44:53] 3614 MapPositions uncatched
[22:44:53] 14681 MapPositions catched
[22:44:53] 42 MapZaaps catched
[22:44:53] 15228 SpellLevels catched 
[22:44:53] 4772 Spells catched 
[22:44:53] 1179 LearnableSpells catched 
[22:44:54] 9780 ItemTemplates catched 
[22:44:54] 4489 Weapons catched 
[22:44:54] 363 ItemSets catched 
[22:44:54] 171 ItemTypes catched 
[22:44:54] 110 ItemPets catched 
[22:44:54] 2476 NpcTemplates catched 
[22:44:54] 138 NpcSpawns catched 
[22:44:54] 50 NpcItems catched 
[22:44:54] 19801 NpcMessages catched 
[22:44:54] 7 NpcReplies catched 
[22:44:54] 18 Triggers catched
[22:44:55] 69 Handlers Readed
[22:44:55] 96 Messages Readed
[22:44:55] WorldServer start in 10651 ms.
