[08:07:37] MySQL Database Connected
[08:07:38] 16 Breeds catched
[08:07:38] 256 Heads catched
[08:07:38] 561 Effects catched
[08:07:42] 4 SuperAreas catched
[08:07:42] 48 Areas catched
[08:07:43] 334 SubAreas catched
[08:08:39] 11260 DofusMaps catched
[08:08:39] 9761 StatedElements catched
[08:08:39] 13349 InteractiveElements catched
[08:08:40] 1485 HouseInformations catched
[08:08:40] 556 InteractiveDoors catched
[08:08:40] 3614 MapPositions uncatched
[08:08:40] 14681 MapPositions catched
[08:08:40] 42 MapZaaps catched
[08:08:40] 79 MapSubways catched
[08:08:40] 15228 SpellLevels catched 
[08:08:40] 4772 Spells catched 
[08:08:40] 316 GuildEmblems catched 
[08:08:41] 1179 LearnableSpells catched 
[08:08:41] 9780 ItemTemplates catched 
[08:08:41] 4489 Weapons catched 
[08:08:41] 363 ItemSets catched 
[08:08:41] 171 ItemTypes catched 
[08:08:41] 110 ItemPets catched 
[08:08:42] 2476 NpcTemplates catched 
[08:08:42] 787 NpcSpawns catched 
[08:08:42] 94 NpcItems catched 
[08:08:42] 19801 NpcMessages catched 
[08:08:43] 7 NpcReplies catched 
[08:08:44] 353 Triggers catched
[08:08:44] 1277 Paddocks catched
[08:08:44] 72 Mounts catched
[08:08:44] 4 Guild catched
[08:08:44] 3 GuildMembers catched
[08:08:50] 120 Handlers Readed
[08:09:08] 164 Messages Readed
[08:09:08] WorldServer start in 90697 ms.
[08:16:50] MySQL Database Connected
[08:16:51] 16 Breeds catched
[08:16:51] 256 Heads catched
[08:16:51] 561 Effects catched
[08:16:51] 4 SuperAreas catched
[08:16:51] 48 Areas catched
[08:16:52] 334 SubAreas catched
[08:16:59] 11260 DofusMaps catched
[08:16:59] 9761 StatedElements catched
[08:17:00] 13349 InteractiveElements catched
[08:17:00] 1485 HouseInformations catched
[08:17:00] 556 InteractiveDoors catched
[08:17:00] 3614 MapPositions uncatched
[08:17:00] 14681 MapPositions catched
[08:17:00] 42 MapZaaps catched
[08:17:00] 79 MapSubways catched
[08:17:00] 15228 SpellLevels catched 
[08:17:00] 4772 Spells catched 
[08:17:00] 316 GuildEmblems catched 
[08:17:00] 1179 LearnableSpells catched 
[08:17:00] 9780 ItemTemplates catched 
[08:17:00] 4489 Weapons catched 
[08:17:00] 363 ItemSets catched 
[08:17:00] 171 ItemTypes catched 
[08:17:01] 110 ItemPets catched 
[08:17:01] 2476 NpcTemplates catched 
[08:17:01] 787 NpcSpawns catched 
[08:17:01] 94 NpcItems catched 
[08:17:01] 19801 NpcMessages catched 
[08:17:01] 7 NpcReplies catched 
[08:17:01] 353 Triggers catched
[08:17:01] 1277 Paddocks catched
[08:17:01] 72 Mounts catched
[08:17:01] 4 Guild catched
[08:17:01] 3 GuildMembers catched
[08:17:02] 120 Handlers Readed
[08:17:02] 164 Messages Readed
[08:17:02] WorldServer start in 12191 ms.
[08:32:10] MySQL Database Connected
[08:32:10] 16 Breeds catched
[08:32:10] 256 Heads catched
[08:32:10] 561 Effects catched
[08:32:11] 4 SuperAreas catched
[08:32:11] 48 Areas catched
[08:32:12] 334 SubAreas catched
[08:32:22] 11260 DofusMaps catched
[08:32:22] 9761 StatedElements catched
