[13:40:35] MySQL Database Connected
[13:40:35] 16 Breeds catched
[13:40:35] 256 Heads catched
[13:40:35] 561 Effects catched
[13:40:47] 11260 DofusMaps catched
[13:40:47] 454 StatedElements catched
[13:40:47] 802 InteractiveElements catched
[13:40:47] 74 HouseInformations catched
[13:40:47] 120 InteractiveDoors catched
[13:40:47] 3614 MapPositions uncatched
[13:40:47] 14681 MapPositions catched
[13:40:47] 42 MapZaaps catched
[13:40:47] 15228 SpellLevels catched 
[13:40:47] 4772 Spells catched 
[13:40:47] 1179 LearnableSpells catched 
[13:40:48] 9780 ItemTemplates catched 
[13:40:48] 4489 Weapons catched 
[13:40:48] 363 ItemSets catched 
[13:40:48] 171 ItemTypes catched 
[13:40:48] 110 ItemPets catched 
[13:40:48] 2476 NpcTemplates catched 
[13:40:48] 138 NpcSpawns catched 
[13:40:48] 50 NpcItems catched 
[13:40:48] 19801 NpcMessages catched 
[13:40:49] 7 NpcReplies catched 
[13:40:49] 18 Triggers catched
[13:40:49] 87 Handlers Readed
[13:40:50] 116 Messages Readed
[13:40:51] WorldServer start in 15986 ms.
[16:42:34] Packet not handled 5753
