[10:39:48] MySQL Database Connected
[10:39:49] 16 Breeds catched
[10:39:49] 256 Heads catched
[10:39:49] 561 Effects catched
[10:39:49] 4 SuperAreas catched
[10:39:49] 48 Areas catched
[10:39:50] 334 SubAreas catched
[10:40:02] 11260 DofusMaps catched
[10:40:02] 9761 StatedElements catched
[10:40:04] 13349 InteractiveElements catched
[10:40:04] 1485 HouseInformations catched
[10:40:04] 556 InteractiveDoors catched
[10:40:05] 3614 MapPositions uncatched
[10:40:05] 14681 MapPositions catched
[10:40:05] 42 MapZaaps catched
[10:40:05] 79 MapSubways catched
[10:40:06] 15228 SpellLevels catched 
[10:40:06] 4772 Spells catched 
[10:40:06] 316 GuildEmblems catched 
[10:40:06] 1179 LearnableSpells catched 
[10:40:06] 9780 ItemTemplates catched 
[10:40:06] 4489 Weapons catched 
[10:40:06] 363 ItemSets catched 
[10:40:06] 171 ItemTypes catched 
[10:40:07] 110 ItemPets catched 
[10:40:07] 2476 NpcTemplates catched 
[10:40:07] 787 NpcSpawns catched 
[10:40:07] 94 NpcItems catched 
[10:40:07] 19801 NpcMessages catched 
[10:40:07] 7 NpcReplies catched 
[10:40:08] 353 Triggers catched
[10:40:08] 1277 Paddocks catched
[10:40:08] 72 Mounts catched
[10:40:08] 4 Guild catched
[10:40:08] 3 GuildMembers catched
[10:40:08] 122 Handlers Readed
[10:40:09] 166 Messages Readed
[10:40:10] WorldServer start in 21405 ms.
[10:42:59] MySQL Database Connected
[10:42:59] 16 Breeds catched
[10:42:59] 256 Heads catched
[10:42:59] 561 Effects catched
[10:43:00] 4 SuperAreas catched
[10:43:00] 48 Areas catched
[10:43:00] 334 SubAreas catched
[10:43:08] 11260 DofusMaps catched
[10:43:08] 9761 StatedElements catched
[10:43:08] 13349 InteractiveElements catched
[10:43:08] 1485 HouseInformations catched
[10:43:08] 556 InteractiveDoors catched
[10:43:08] 3614 MapPositions uncatched
[10:43:08] 14681 MapPositions catched
[10:43:08] 42 MapZaaps catched
[10:43:08] 79 MapSubways catched
[10:43:09] 15228 SpellLevels catched 
[10:43:09] 4772 Spells catched 
[10:43:09] 316 GuildEmblems catched 
[10:43:09] 1179 LearnableSpells catched 
[10:43:09] 9780 ItemTemplates catched 
[10:43:09] 4489 Weapons catched 
[10:43:09] 363 ItemSets catched 
[10:43:09] 171 ItemTypes catched 
[10:43:09] 110 ItemPets catched 
[10:43:10] 2476 NpcTemplates catched 
[10:43:10] 787 NpcSpawns catched 
[10:43:10] 94 NpcItems catched 
[10:43:10] 19801 NpcMessages catched 
[10:43:10] 7 NpcReplies catched 
[10:43:10] 353 Triggers catched
[10:43:10] 1277 Paddocks catched
[10:43:10] 72 Mounts catched
[10:43:10] 4 Guild catched
[10:43:10] 3 GuildMembers catched
[10:43:11] 122 Handlers Readed
[10:43:11] 166 Messages Readed
[10:43:11] WorldServer start in 12540 ms.
[11:26:04] MySQL Database Connected
[11:26:04] 16 Breeds catched
[11:26:04] 256 Heads catched
[11:26:04] 561 Effects catched
[11:26:04] 4 SuperAreas catched
[11:26:04] 48 Areas catched
[11:26:05] 334 SubAreas catched
[11:26:13] 11260 DofusMaps catched
[11:26:13] 9761 StatedElements catched
[11:26:13] 13349 InteractiveElements catched
[11:26:13] 1485 HouseInformations catched
[11:26:13] 556 InteractiveDoors catched
[11:26:13] 3614 MapPositions uncatched
[11:26:13] 14681 MapPositions catched
[11:26:13] 42 MapZaaps catched
[11:26:13] 79 MapSubways catched
[11:26:13] 15228 SpellLevels catched 
[11:26:13] 4772 Spells catched 
[11:26:13] 316 GuildEmblems catched 
[11:26:13] 1179 LearnableSpells catched 
[11:26:14] 9780 ItemTemplates catched 
[11:26:14] 4489 Weapons catched 
[11:26:14] 363 ItemSets catched 
[11:26:14] 171 ItemTypes catched 
[11:26:14] 110 ItemPets catched 
[11:26:14] 2476 NpcTemplates catched 
[11:26:14] 787 NpcSpawns catched 
[11:26:14] 94 NpcItems catched 
[11:26:14] 19801 NpcMessages catched 
[11:26:14] 7 NpcReplies catched 
[11:26:15] 353 Triggers catched
[11:26:15] 1277 Paddocks catched
[11:26:15] 72 Mounts catched
[11:26:15] 4 Guild catched
[11:26:15] 3 GuildMembers catched
[11:26:15] 122 Handlers Readed
[11:26:16] 166 Messages Readed
[11:26:16] WorldServer start in 12529 ms.
[11:27:49] MySQL Database Connected
[11:27:49] 16 Breeds catched
[11:27:49] 256 Heads catched
[11:27:49] 561 Effects catched
[11:27:50] 4 SuperAreas catched
[11:27:50] 48 Areas catched
[11:27:51] 334 SubAreas catched
[11:27:58] 11260 DofusMaps catched
[11:27:58] 9761 StatedElements catched
[11:27:58] 13349 InteractiveElements catched
[11:27:59] 1485 HouseInformations catched
[11:27:59] 556 InteractiveDoors catched
[11:27:59] 3614 MapPositions uncatched
[11:27:59] 14681 MapPositions catched
[11:27:59] 42 MapZaaps catched
[11:27:59] 79 MapSubways catched
[11:27:59] 15228 SpellLevels catched 
[11:27:59] 4772 Spells catched 
[11:27:59] 316 GuildEmblems catched 
[11:27:59] 1179 LearnableSpells catched 
[11:27:59] 9780 ItemTemplates catched 
[11:27:59] 4489 Weapons catched 
[11:27:59] 363 ItemSets catched 
[11:27:59] 171 ItemTypes catched 
[11:27:59] 110 ItemPets catched 
[11:28:00] 2476 NpcTemplates catched 
[11:28:00] 787 NpcSpawns catched 
[11:28:00] 94 NpcItems catched 
[11:28:00] 19801 NpcMessages catched 
[11:28:00] 7 NpcReplies catched 
[11:28:00] 353 Triggers catched
[11:28:00] 1277 Paddocks catched
[11:28:00] 72 Mounts catched
[11:28:00] 4 Guild catched
[11:28:00] 3 GuildMembers catched
[11:28:01] 122 Handlers Readed
[11:28:01] 166 Messages Readed
[11:28:02] WorldServer start in 12487 ms.
[11:29:54] MySQL Database Connected
[11:29:54] 16 Breeds catched
[11:29:54] 256 Heads catched
[11:29:54] 561 Effects catched
[11:29:55] 4 SuperAreas catched
[11:29:55] 48 Areas catched
[11:29:56] 334 SubAreas catched
[11:30:05] 11260 DofusMaps catched
[11:30:05] 9761 StatedElements catched
[11:30:05] 13349 InteractiveElements catched
[11:30:05] 1485 HouseInformations catched
[11:30:05] 556 InteractiveDoors catched
[11:30:06] 3614 MapPositions uncatched
[11:30:06] 14681 MapPositions catched
[11:30:06] 42 MapZaaps catched
[11:30:06] 79 MapSubways catched
[11:30:06] 15228 SpellLevels catched 
[11:30:06] 4772 Spells catched 
[11:30:06] 316 GuildEmblems catched 
[11:30:06] 1179 LearnableSpells catched 
[11:30:06] 9780 ItemTemplates catched 
[11:30:06] 4489 Weapons catched 
[11:30:06] 363 ItemSets catched 
[11:30:06] 171 ItemTypes catched 
[11:30:06] 110 ItemPets catched 
[11:30:07] 2476 NpcTemplates catched 
[11:30:07] 787 NpcSpawns catched 
[11:30:07] 94 NpcItems catched 
[11:30:07] 19801 NpcMessages catched 
[11:30:07] 7 NpcReplies catched 
[11:30:07] 353 Triggers catched
[11:30:07] 1277 Paddocks catched
[11:30:07] 72 Mounts catched
[11:30:07] 4 Guild catched
[11:30:07] 3 GuildMembers catched
[11:30:08] 122 Handlers Readed
[11:30:08] 166 Messages Readed
[11:30:08] WorldServer start in 14256 ms.
[11:33:09] MySQL Database Connected
[11:33:09] 16 Breeds catched
[11:33:09] 256 Heads catched
[11:33:09] 561 Effects catched
[11:33:09] 4 SuperAreas catched
[11:33:09] 48 Areas catched
[11:33:10] 334 SubAreas catched
[11:33:19] 11260 DofusMaps catched
[11:33:19] 9761 StatedElements catched
[11:33:19] 13349 InteractiveElements catched
[11:33:19] 1485 HouseInformations catched
[11:33:19] 556 InteractiveDoors catched
[11:33:19] 3614 MapPositions uncatched
[11:33:19] 14681 MapPositions catched
[11:33:19] 42 MapZaaps catched
[11:33:19] 79 MapSubways catched
[11:33:19] 15228 SpellLevels catched 
[11:33:19] 4772 Spells catched 
[11:33:19] 316 GuildEmblems catched 
[11:33:19] 1179 LearnableSpells catched 
[11:33:20] 9780 ItemTemplates catched 
[11:33:20] 4489 Weapons catched 
[11:33:20] 363 ItemSets catched 
[11:33:20] 171 ItemTypes catched 
[11:33:20] 110 ItemPets catched 
[11:33:20] 2476 NpcTemplates catched 
[11:33:20] 787 NpcSpawns catched 
[11:33:20] 94 NpcItems catched 
[11:33:20] 19801 NpcMessages catched 
[11:33:20] 7 NpcReplies catched 
[11:33:21] 353 Triggers catched
[11:33:21] 1277 Paddocks catched
[11:33:21] 72 Mounts catched
[11:33:21] 4 Guild catched
[11:33:21] 3 GuildMembers catched
[11:33:21] 122 Handlers Readed
[11:33:22] 166 Messages Readed
[11:33:22] WorldServer start in 13201 ms.
[11:35:11] MySQL Database Connected
[11:35:11] 16 Breeds catched
