[11:50:55] MySQL Database Connected
[11:50:56] 16 Breeds catched
[11:50:56] 256 Heads catched
[11:50:56] 561 Effects catched
[11:51:00] 4 SuperAreas catched
[11:51:00] 48 Areas catched
[11:51:01] 334 SubAreas catched
[11:51:15] 11260 DofusMaps catched
[11:51:15] 9761 StatedElements catched
[11:51:15] 13349 InteractiveElements catched
[11:51:15] 1485 HouseInformations catched
[11:51:15] 556 InteractiveDoors catched
[11:51:16] 3614 MapPositions uncatched
[11:51:16] 14681 MapPositions catched
[11:51:16] 42 MapZaaps catched
[11:51:16] 79 MapSubways catched
[11:51:16] 15228 SpellLevels catched 
[11:51:16] 4772 Spells catched 
[11:51:16] 316 GuildEmblems catched 
[11:51:16] 1179 LearnableSpells catched 
[11:51:17] 9780 ItemTemplates catched 
[11:51:17] 4489 Weapons catched 
[11:51:17] 363 ItemSets catched 
[11:51:17] 171 ItemTypes catched 
[11:51:17] 110 ItemPets catched 
[11:51:18] 2476 NpcTemplates catched 
[11:51:18] 787 NpcSpawns catched 
[11:51:18] 94 NpcItems catched 
[11:51:18] 19801 NpcMessages catched 
[11:51:18] 7 NpcReplies catched 
[11:51:19] 353 Triggers catched
[11:51:19] 1277 Paddocks catched
[11:51:19] 72 Mounts catched
[11:51:19] 4 Guild catched
[11:51:19] 3 GuildMembers catched
[11:51:23] 105 Handlers Readed
[11:52:03] MySQL Database Connected
[11:52:03] 16 Breeds catched
[11:52:03] 256 Heads catched
[11:52:03] 561 Effects catched
[11:52:09] 4 SuperAreas catched
[11:52:09] 48 Areas catched
[11:52:10] 334 SubAreas catched
[11:52:38] 11260 DofusMaps catched
[11:52:38] 9761 StatedElements catched
[11:52:38] 13349 InteractiveElements catched
[11:52:38] 1485 HouseInformations catched
[11:52:38] 556 InteractiveDoors catched
[11:52:38] 3614 MapPositions uncatched
[11:52:38] 14681 MapPositions catched
[11:52:38] 42 MapZaaps catched
[11:52:38] 79 MapSubways catched
[11:52:38] 15228 SpellLevels catched 
[11:52:38] 4772 Spells catched 
[11:52:38] 316 GuildEmblems catched 
