[08:06:34] MySQL Database Connected
[08:06:35] 16 Breeds catched
[08:06:35] 256 Heads catched
[08:06:35] 561 Effects catched
[08:06:46] 11260 DofusMaps catched
[08:06:46] 454 StatedElements catched
[08:06:46] 802 InteractiveElements catched
[08:06:46] 74 HouseInformations catched
[08:06:46] 120 InteractiveDoors catched
[08:06:46] 3614 MapPositions uncatched
[08:06:46] 14681 MapPositions catched
[08:06:46] 42 MapZaaps catched
[08:06:46] 15228 SpellLevels catched 
[08:06:47] 4772 Spells catched 
[08:06:47] 1179 LearnableSpells catched 
[08:06:47] 9780 ItemTemplates catched 
[08:06:47] 4489 Weapons catched 
[08:06:47] 363 ItemSets catched 
[08:06:47] 171 ItemTypes catched 
[08:06:47] 110 ItemPets catched 
[08:06:48] 2476 NpcTemplates catched 
[08:06:48] 138 NpcSpawns catched 
[08:06:48] 50 NpcItems catched 
[08:06:48] 19801 NpcMessages catched 
[08:06:48] 7 NpcReplies catched 
[08:06:49] 18 Triggers catched
[08:06:51] 69 Handlers Readed
[08:06:56] 96 Messages Readed
[08:06:56] WorldServer start in 26139 ms.
[21:57:08] MySQL Database Connected
[21:57:09] 16 Breeds catched
[21:57:09] 256 Heads catched
[21:57:09] 561 Effects catched
[21:57:35] 11260 DofusMaps catched
[21:57:35] 454 StatedElements catched
[21:57:35] 802 InteractiveElements catched
[21:57:35] 74 HouseInformations catched
[21:57:35] 120 InteractiveDoors catched
[21:57:35] 3614 MapPositions uncatched
[21:57:35] 14681 MapPositions catched
[21:57:35] 42 MapZaaps catched
[21:57:36] 15228 SpellLevels catched 
[21:57:36] 4772 Spells catched 
[21:57:36] 1179 LearnableSpells catched 
[21:57:36] 9780 ItemTemplates catched 
[21:57:37] 4489 Weapons catched 
[21:57:37] 363 ItemSets catched 
[21:57:37] 171 ItemTypes catched 
[21:57:37] 110 ItemPets catched 
[21:57:37] 2476 NpcTemplates catched 
[21:57:37] 138 NpcSpawns catched 
[21:57:37] 50 NpcItems catched 
[21:57:37] 19801 NpcMessages catched 
[21:57:37] 7 NpcReplies catched 
[21:57:38] 18 Triggers catched
[21:57:39] 69 Handlers Readed
[21:57:43] 96 Messages Readed
[21:57:43] WorldServer start in 36640 ms.
[22:04:47] MySQL Database Connected
[22:04:47] 16 Breeds catched
[22:04:47] 256 Heads catched
[22:04:47] 561 Effects catched
[22:04:55] 11260 DofusMaps catched
[22:04:55] 454 StatedElements catched
[22:04:55] 802 InteractiveElements catched
[22:04:55] 74 HouseInformations catched
[22:04:55] 120 InteractiveDoors catched
[22:04:55] 3614 MapPositions uncatched
[22:04:55] 14681 MapPositions catched
[22:04:55] 42 MapZaaps catched
[22:04:55] 15228 SpellLevels catched 
[22:04:55] 4772 Spells catched 
[22:04:55] 1179 LearnableSpells catched 
[22:04:56] 9780 ItemTemplates catched 
[22:04:56] 4489 Weapons catched 
[22:04:56] 363 ItemSets catched 
[22:04:56] 171 ItemTypes catched 
[22:04:56] 110 ItemPets catched 
[22:04:56] 2476 NpcTemplates catched 
[22:04:56] 138 NpcSpawns catched 
[22:04:56] 50 NpcItems catched 
[22:04:56] 19801 NpcMessages catched 
[22:04:56] 7 NpcReplies catched 
[22:04:56] 18 Triggers catched
[22:04:57] 69 Handlers Readed
[22:04:57] 96 Messages Readed
[22:04:57] WorldServer start in 10846 ms.
[22:05:40] MySQL Database Connected
[22:05:41] 16 Breeds catched
[22:05:41] 256 Heads catched
[22:05:41] 561 Effects catched
[22:05:49] 11260 DofusMaps catched
[22:05:49] 454 StatedElements catched
[22:05:49] 802 InteractiveElements catched
[22:05:49] 74 HouseInformations catched
[22:05:49] 120 InteractiveDoors catched
[22:05:51] 3614 MapPositions uncatched
[22:05:51] 14681 MapPositions catched
[22:05:51] 42 MapZaaps catched
[22:05:52] 15228 SpellLevels catched 
[22:05:52] 4772 Spells catched 
[22:05:52] 1179 LearnableSpells catched 
[22:05:53] 9780 ItemTemplates catched 
[22:05:53] 4489 Weapons catched 
[22:05:53] 363 ItemSets catched 
[22:05:53] 171 ItemTypes catched 
[22:05:53] 110 ItemPets catched 
[22:05:53] 2476 NpcTemplates catched 
[22:05:53] 138 NpcSpawns catched 
[22:05:53] 50 NpcItems catched 
[22:05:53] 19801 NpcMessages catched 
[22:05:53] 7 NpcReplies catched 
[22:05:53] 18 Triggers catched
[22:05:54] 69 Handlers Readed
[22:05:54] 96 Messages Readed
[22:05:54] WorldServer start in 13768 ms.
[22:09:28] MySQL Database Connected
[22:09:28] 16 Breeds catched
[22:09:28] 256 Heads catched
[22:09:28] 561 Effects catched
[22:09:36] 11260 DofusMaps catched
[22:09:36] 454 StatedElements catched
[22:09:36] 802 InteractiveElements catched
[22:09:36] 74 HouseInformations catched
[22:09:36] 120 InteractiveDoors catched
[22:09:36] 3614 MapPositions uncatched
[22:09:36] 14681 MapPositions catched
[22:09:36] 42 MapZaaps catched
[22:09:37] 15228 SpellLevels catched 
[22:09:37] 4772 Spells catched 
[22:09:37] 1179 LearnableSpells catched 
[22:09:37] 9780 ItemTemplates catched 
[22:09:37] 4489 Weapons catched 
[22:09:37] 363 ItemSets catched 
[22:09:37] 171 ItemTypes catched 
[22:09:37] 110 ItemPets catched 
[22:09:37] 2476 NpcTemplates catched 
[22:09:37] 138 NpcSpawns catched 
[22:09:37] 50 NpcItems catched 
[22:09:37] 19801 NpcMessages catched 
[22:09:38] 7 NpcReplies catched 
[22:09:38] 18 Triggers catched
[22:09:38] 69 Handlers Readed
[22:09:38] 96 Messages Readed
[22:09:38] WorldServer start in 11012 ms.
[22:15:24] MySQL Database Connected
[22:15:24] 16 Breeds catched
[22:15:24] 256 Heads catched
[22:15:24] 561 Effects catched
[22:15:33] 11260 DofusMaps catched
[22:15:33] 454 StatedElements catched
[22:15:33] 802 InteractiveElements catched
[22:15:33] 74 HouseInformations catched
[22:15:33] 120 InteractiveDoors catched
[22:15:33] 3614 MapPositions uncatched
[22:15:33] 14681 MapPositions catched
[22:15:33] 42 MapZaaps catched
[22:15:33] 15228 SpellLevels catched 
[22:15:33] 4772 Spells catched 
[22:15:33] 1179 LearnableSpells catched 
