[08:01:55] MySQL Database Connected
[08:01:56] 16 Breeds catched
[08:01:56] 256 Heads catched
[08:01:56] 561 Effects catched
[08:02:12] 11260 DofusMaps catched
[08:02:12] 454 StatedElements catched
[08:02:12] 802 InteractiveElements catched
[08:02:12] 74 HouseInformations catched
[08:02:12] 120 InteractiveDoors catched
[08:02:12] 3614 MapPositions uncatched
[08:02:12] 14681 MapPositions catched
[08:02:12] 42 MapZaaps catched
[08:02:12] 15228 SpellLevels catched 
[08:02:12] 4772 Spells catched 
[08:02:13] 1179 LearnableSpells catched 
[08:02:13] 9780 ItemTemplates catched 
[08:02:13] 4489 Weapons catched 
[08:02:13] 363 ItemSets catched 
[08:02:13] 171 ItemTypes catched 
[08:02:13] 110 ItemPets catched 
[08:02:14] 2476 NpcTemplates catched 
[08:02:14] 138 NpcSpawns catched 
[08:02:14] 50 NpcItems catched 
[08:02:14] 19801 NpcMessages catched 
[08:02:14] 6 NpcReplies catched 
[08:02:14] 18 Triggers catched
[08:02:16] 59 Handlers Readed
[08:02:19] 89 Messages Readed
[08:02:20] WorldServer start in 29351 ms.
[08:05:08] MySQL Database Connected
[08:05:08] 16 Breeds catched
[08:05:08] 256 Heads catched
[08:05:08] 561 Effects catched
[08:05:17] 11260 DofusMaps catched
[08:05:17] 454 StatedElements catched
[08:05:17] 802 InteractiveElements catched
[08:05:17] 74 HouseInformations catched
[08:05:17] 120 InteractiveDoors catched
[08:05:18] 3614 MapPositions uncatched
[08:05:18] 14681 MapPositions catched
[08:05:18] 42 MapZaaps catched
[08:05:21] 15228 SpellLevels catched 
[08:05:23] 4772 Spells catched 
[08:05:23] 1179 LearnableSpells catched 
[08:05:26] 9780 ItemTemplates catched 
[08:05:29] 4489 Weapons catched 
[08:05:30] 363 ItemSets catched 
[08:05:30] 171 ItemTypes catched 
[08:05:30] 110 ItemPets catched 
[08:05:32] 2476 NpcTemplates catched 
[08:05:32] 138 NpcSpawns catched 
[08:05:32] 50 NpcItems catched 
[08:05:32] 19801 NpcMessages catched 
[08:05:32] 6 NpcReplies catched 
[08:05:32] 18 Triggers catched
[08:05:32] 59 Handlers Readed
[08:05:33] 89 Messages Readed
[08:05:33] WorldServer start in 25136 ms.
[08:09:58] MySQL Database Connected
[08:09:58] 16 Breeds catched
[08:09:58] 256 Heads catched
[08:09:58] 561 Effects catched
[08:10:06] 11260 DofusMaps catched
[08:10:06] 454 StatedElements catched
[08:10:06] 802 InteractiveElements catched
[08:10:06] 74 HouseInformations catched
[08:10:06] 120 InteractiveDoors catched
[08:10:06] 3614 MapPositions uncatched
[08:10:06] 14681 MapPositions catched
[08:10:06] 42 MapZaaps catched
[08:10:07] 15228 SpellLevels catched 
[08:10:07] 4772 Spells catched 
[08:10:07] 1179 LearnableSpells catched 
[08:10:07] 9780 ItemTemplates catched 
[08:10:07] 4489 Weapons catched 
[08:10:07] 363 ItemSets catched 
