[00:36:06] MySQL Database Connected
[00:36:06] 16 Breeds catched
[00:36:06] 256 Heads catched
[00:36:06] 561 Effects catched
[00:36:06] 4 SuperAreas catched
[00:36:06] 48 Areas catched
[00:36:07] 334 SubAreas catched
[00:36:21] 11260 DofusMaps catched
[00:36:21] 9761 StatedElements catched
[00:36:21] 13349 InteractiveElements catched
[00:36:21] 1485 HouseInformations catched
[00:36:21] 556 InteractiveDoors catched
[00:36:22] 3614 MapPositions uncatched
[00:36:22] 14681 MapPositions catched
[00:36:22] 42 MapZaaps catched
[00:36:22] 79 MapSubways catched
[00:36:22] 15228 SpellLevels catched 
[00:36:23] 4772 Spells catched 
[00:36:23] 316 GuildEmblems catched 
[00:36:23] 1179 LearnableSpells catched 
[00:36:23] 9780 ItemTemplates catched 
[00:36:23] 4489 Weapons catched 
[00:36:23] 363 ItemSets catched 
[00:36:23] 171 ItemTypes catched 
[00:36:23] 110 ItemPets catched 
[00:36:24] 2476 NpcTemplates catched 
[00:36:24] 787 NpcSpawns catched 
[00:36:24] 94 NpcItems catched 
[00:36:24] 19801 NpcMessages catched 
[00:36:24] 7 NpcReplies catched 
[00:36:24] 353 Triggers catched
[00:36:24] 1277 Paddocks catched
[00:36:24] 72 Mounts catched
[00:36:24] 4 Guild catched
[00:36:24] 3 GuildMembers catched
[00:36:25] 123 Handlers Readed
[00:36:25] 168 Messages Readed
[00:36:25] WorldServer start in 20052 ms.
[00:39:59] Packet not handled 5753
[00:40:00] Packet not handled 6246
