[22:03:21] MySQL Database Connected
[22:03:21] 16 Breeds catched
[22:03:21] 256 Heads catched
[22:03:21] 561 Effects catched
[22:03:46] 11260 DofusMaps catched
[22:03:46] 454 StatedElements catched
[22:03:47] 802 InteractiveElements catched
[22:03:47] 74 HouseInformations catched
[22:03:47] 120 InteractiveDoors catched
[22:03:47] 3614 MapPositions uncatched
[22:03:47] 14681 MapPositions catched
[22:03:47] 42 MapZaaps catched
[22:03:47] 15228 SpellLevels catched 
[22:03:47] 4772 Spells catched 
[22:03:47] 1179 LearnableSpells catched 
[22:03:48] 9780 ItemTemplates catched 
[22:03:48] 4489 Weapons catched 
[22:03:48] 363 ItemSets catched 
[22:03:48] 171 ItemTypes catched 
[22:03:48] 110 ItemPets catched 
[22:03:48] 2476 NpcTemplates catched 
[22:03:48] 138 NpcSpawns catched 
[22:03:48] 50 NpcItems catched 
[22:03:49] 19801 NpcMessages catched 
[22:03:49] 7 NpcReplies catched 
[22:03:49] 18 Triggers catched
[22:03:51] 69 Handlers Readed
[22:03:52] 96 Messages Readed
[22:03:53] WorldServer start in 31807 ms.
