[20:27:37] MySQL Database Connected
[20:27:38] 16 Breeds catched
[20:27:38] 256 Heads catched
[20:27:38] 561 Effects catched
[20:27:41] 4 SuperAreas catched
[20:27:41] 48 Areas catched
[20:27:42] 334 SubAreas catched
[20:28:02] 11260 DofusMaps catched
[20:28:02] 9761 StatedElements catched
[20:28:03] 13349 InteractiveElements catched
[20:28:03] 1485 HouseInformations catched
[20:28:03] 556 InteractiveDoors catched
[20:28:03] 3614 MapPositions uncatched
[20:28:03] 14681 MapPositions catched
[20:28:03] 42 MapZaaps catched
[20:28:03] 79 MapSubways catched
[20:28:03] 15228 SpellLevels catched 
[20:28:04] 4772 Spells catched 
[20:28:04] 316 GuildEmblems catched 
[20:28:04] 1179 LearnableSpells catched 
[20:28:04] 9780 ItemTemplates catched 
[20:28:04] 4489 Weapons catched 
[20:28:04] 363 ItemSets catched 
[20:28:04] 171 ItemTypes catched 
[20:28:05] 110 ItemPets catched 
[20:28:05] 2476 NpcTemplates catched 
[20:28:05] 787 NpcSpawns catched 
[20:28:06] 94 NpcItems catched 
[20:28:06] 19801 NpcMessages catched 
[20:28:07] 7 NpcReplies catched 
[20:28:08] 353 Triggers catched
[20:28:08] 1277 Paddocks catched
[20:28:08] 72 Mounts catched
[20:28:08] 4 Guild catched
[20:28:08] 3 GuildMembers catched
[20:28:15] 122 Handlers Readed
[20:28:26] 166 Messages Readed
[20:28:26] WorldServer start in 49599 ms.
[23:49:29] MySQL Database Connected
[23:49:29] 16 Breeds catched
[23:49:29] 256 Heads catched
[23:49:29] 561 Effects catched
[23:49:29] 4 SuperAreas catched
[23:49:29] 48 Areas catched
[23:49:30] 334 SubAreas catched
[23:49:44] 11260 DofusMaps catched
[23:49:44] 9761 StatedElements catched
[23:49:45] 13349 InteractiveElements catched
[23:49:45] 1485 HouseInformations catched
[23:49:45] 556 InteractiveDoors catched
[23:49:45] 3614 MapPositions uncatched
[23:49:45] 14681 MapPositions catched
[23:49:45] 42 MapZaaps catched
[23:49:45] 79 MapSubways catched
[23:49:45] 15228 SpellLevels catched 
[23:49:45] 4772 Spells catched 
[23:49:45] 316 GuildEmblems catched 
[23:49:45] 1179 LearnableSpells catched 
[23:49:45] 9780 ItemTemplates catched 
[23:49:46] 4489 Weapons catched 
[23:49:46] 363 ItemSets catched 
[23:49:46] 171 ItemTypes catched 
[23:49:46] 110 ItemPets catched 
[23:49:46] 2476 NpcTemplates catched 
[23:49:46] 787 NpcSpawns catched 
[23:49:46] 94 NpcItems catched 
[23:49:46] 19801 NpcMessages catched 
[23:49:46] 7 NpcReplies catched 
[23:49:47] 353 Triggers catched
[23:49:47] 1277 Paddocks catched
[23:49:47] 72 Mounts catched
[23:49:47] 4 Guild catched
[23:49:47] 3 GuildMembers catched
[23:49:47] 122 Handlers Readed
[23:49:48] 166 Messages Readed
[23:49:48] WorldServer start in 19225 ms.
[23:55:28] MySQL Database Connected
[23:55:28] 16 Breeds catched
[23:55:28] 256 Heads catched
[23:55:28] 561 Effects catched
[23:55:28] 4 SuperAreas catched
[23:55:29] 48 Areas catched
[23:55:29] 334 SubAreas catched
[23:55:38] 11260 DofusMaps catched
[23:55:38] 9761 StatedElements catched
[23:55:38] 13349 InteractiveElements catched
[23:55:38] 1485 HouseInformations catched
[23:55:38] 556 InteractiveDoors catched
[23:55:38] 3614 MapPositions uncatched
[23:55:38] 14681 MapPositions catched
[23:55:38] 42 MapZaaps catched
[23:55:38] 79 MapSubways catched
[23:55:38] 15228 SpellLevels catched 
[23:55:38] 4772 Spells catched 
[23:55:38] 316 GuildEmblems catched 
[23:55:38] 1179 LearnableSpells catched 
[23:55:39] 9780 ItemTemplates catched 
[23:55:39] 4489 Weapons catched 
[23:55:39] 363 ItemSets catched 
[23:55:39] 171 ItemTypes catched 
[23:55:39] 110 ItemPets catched 
[23:55:39] 2476 NpcTemplates catched 
[23:55:39] 787 NpcSpawns catched 
[23:55:39] 94 NpcItems catched 
[23:55:39] 19801 NpcMessages catched 
[23:55:39] 7 NpcReplies catched 
[23:55:40] 353 Triggers catched
[23:55:40] 1277 Paddocks catched
[23:55:40] 72 Mounts catched
[23:55:40] 4 Guild catched
[23:55:40] 3 GuildMembers catched
[23:55:40] 122 Handlers Readed
[23:55:41] 166 Messages Readed
[23:55:41] WorldServer start in 13170 ms.
