[15:45:57] MySQL Database Connected
[15:45:58] 16 Breeds catched
[15:45:58] 256 Heads catched
[15:45:58] 561 Effects catched
[15:46:00] 4 SuperAreas catched
[15:46:00] 48 Areas catched
[15:46:01] 334 SubAreas catched
[15:46:21] 11260 DofusMaps catched
[15:46:21] 9761 StatedElements catched
[15:46:21] 13349 InteractiveElements catched
[15:46:21] 1485 HouseInformations catched
[15:46:21] 556 InteractiveDoors catched
[15:46:21] 3614 MapPositions uncatched
[15:46:21] 14681 MapPositions catched
[15:46:21] 42 MapZaaps catched
[15:46:21] 79 MapSubways catched
[15:46:22] 15228 SpellLevels catched 
[15:46:22] 4772 Spells catched 
[15:46:22] 316 GuildEmblems catched 
[15:46:22] 1179 LearnableSpells catched 
[15:46:22] 9780 ItemTemplates catched 
[15:46:22] 4489 Weapons catched 
[15:46:22] 363 ItemSets catched 
[15:46:22] 171 ItemTypes catched 
[15:46:23] 110 ItemPets catched 
[15:46:23] 2476 NpcTemplates catched 
[15:46:23] 787 NpcSpawns catched 
[15:46:23] 94 NpcItems catched 
[15:46:23] 19801 NpcMessages catched 
[15:46:23] 7 NpcReplies catched 
[15:46:24] 353 Triggers catched
[15:46:24] 1277 Paddocks catched
[15:46:24] 72 Mounts catched
[15:46:24] 4 Guild catched
[15:46:24] 3 GuildMembers catched
[15:46:26] 122 Handlers Readed
[15:46:28] 166 Messages Readed
[15:46:28] WorldServer start in 31982 ms.
[15:59:20] MySQL Database Connected
[15:59:20] 16 Breeds catched
[15:59:20] 256 Heads catched
[15:59:20] 561 Effects catched
[15:59:21] 4 SuperAreas catched
[15:59:21] 48 Areas catched
[15:59:21] 334 SubAreas catched
[15:59:29] 11260 DofusMaps catched
[15:59:29] 9761 StatedElements catched
[15:59:29] 13349 InteractiveElements catched
[15:59:29] 1485 HouseInformations catched
[15:59:29] 556 InteractiveDoors catched
[15:59:30] 3614 MapPositions uncatched
[15:59:30] 14681 MapPositions catched
[15:59:30] 42 MapZaaps catched
[15:59:30] 79 MapSubways catched
[15:59:30] 15228 SpellLevels catched 
[15:59:30] 4772 Spells catched 
[15:59:30] 316 GuildEmblems catched 
[15:59:30] 1179 LearnableSpells catched 
[15:59:30] 9780 ItemTemplates catched 
[15:59:30] 4489 Weapons catched 
[15:59:30] 363 ItemSets catched 
[15:59:30] 171 ItemTypes catched 
[15:59:30] 110 ItemPets catched 
[15:59:31] 2476 NpcTemplates catched 
[15:59:31] 787 NpcSpawns catched 
[15:59:31] 94 NpcItems catched 
[15:59:31] 19801 NpcMessages catched 
[15:59:31] 7 NpcReplies catched 
[15:59:31] 353 Triggers catched
[15:59:31] 1277 Paddocks catched
[15:59:31] 72 Mounts catched
[15:59:31] 4 Guild catched
[15:59:31] 3 GuildMembers catched
[15:59:32] 122 Handlers Readed
[15:59:32] 166 Messages Readed
[15:59:32] WorldServer start in 12921 ms.
[16:03:05] MySQL Database Connected
[16:03:05] 16 Breeds catched
[16:03:05] 256 Heads catched
[16:03:05] 561 Effects catched
[16:03:06] 4 SuperAreas catched
[16:03:06] 48 Areas catched
[16:03:07] 334 SubAreas catched
[16:03:17] 11260 DofusMaps catched
[16:03:17] 9761 StatedElements catched
[16:03:18] 13349 InteractiveElements catched
[16:03:18] 1485 HouseInformations catched
[16:03:18] 556 InteractiveDoors catched
[16:03:18] 3614 MapPositions uncatched
[16:03:18] 14681 MapPositions catched
[16:03:18] 42 MapZaaps catched
[16:03:18] 79 MapSubways catched
[16:03:18] 15228 SpellLevels catched 
[16:03:18] 4772 Spells catched 
[16:03:18] 316 GuildEmblems catched 
[16:03:18] 1179 LearnableSpells catched 
[16:03:19] 9780 ItemTemplates catched 
[16:03:19] 4489 Weapons catched 
[16:03:19] 363 ItemSets catched 
[16:03:19] 171 ItemTypes catched 
[16:03:19] 110 ItemPets catched 
[16:03:19] 2476 NpcTemplates catched 
[16:03:19] 787 NpcSpawns catched 
[16:03:19] 94 NpcItems catched 
[16:03:19] 19801 NpcMessages catched 
[16:03:20] 7 NpcReplies catched 
[16:03:20] 353 Triggers catched
[16:03:20] 1277 Paddocks catched
[16:03:20] 72 Mounts catched
[16:03:20] 4 Guild catched
[16:03:20] 3 GuildMembers catched
[16:03:20] 122 Handlers Readed
[16:03:21] 166 Messages Readed
[16:03:21] WorldServer start in 15837 ms.
[16:04:42] MySQL Database Connected
