[15:45:57] MySQL Database Connected
[16:04:42] 16 Breeds catched
[16:04:42] 256 Heads catched
[16:04:42] 561 Effects catched
[16:04:42] 4 SuperAreas catched
[16:04:42] 48 Areas catched
[16:04:43] 334 SubAreas catched
[16:04:51] 11260 DofusMaps catched
[16:04:51] 9761 StatedElements catched
[16:04:51] 13349 InteractiveElements catched
[16:04:51] 1485 HouseInformations catched
[16:04:51] 556 InteractiveDoors catched
[16:04:51] 3614 MapPositions uncatched
[16:04:51] 14681 MapPositions catched
[16:04:51] 42 MapZaaps catched
[16:04:51] 79 MapSubways catched
[16:04:51] 15228 SpellLevels catched 
[16:04:51] 4772 Spells catched 
[16:04:51] 316 GuildEmblems catched 
[16:04:51] 1179 LearnableSpells catched 
[16:04:52] 9780 ItemTemplates catched 
[16:04:52] 4489 Weapons catched 
[16:04:52] 363 ItemSets catched 
[16:04:52] 171 ItemTypes catched 
[16:04:52] 110 ItemPets catched 
[16:04:52] 2476 NpcTemplates catched 
[16:04:52] 787 NpcSpawns catched 
[16:04:52] 94 NpcItems catched 
[16:04:52] 19801 NpcMessages catched 
[16:04:52] 7 NpcReplies catched 
[16:04:53] 353 Triggers catched
[16:04:53] 1277 Paddocks catched
[16:04:53] 72 Mounts catched
[16:04:53] 4 Guild catched
[16:04:53] 3 GuildMembers catched
[16:04:53] 122 Handlers Readed
[16:04:54] 166 Messages Readed
[16:04:54] WorldServer start in 12457 ms.
[16:06:15] MySQL Database Connected
[16:06:15] 16 Breeds catched
[16:06:15] 256 Heads catched
[16:06:15] 561 Effects catched
[16:06:16] 4 SuperAreas catched
[16:06:16] 48 Areas catched
[16:06:17] 334 SubAreas catched
[16:07:33] MySQL Database Connected
[16:07:33] 16 Breeds catched
[16:07:33] 256 Heads catched
[16:07:33] 561 Effects catched
[16:07:34] 4 SuperAreas catched
[16:07:34] 48 Areas catched
[16:07:35] 334 SubAreas catched
[16:07:41] 11260 DofusMaps catched
[16:07:42] 9761 StatedElements catched
[16:07:42] 13349 InteractiveElements catched
[16:07:42] 1485 HouseInformations catched
[16:07:42] 556 InteractiveDoors catched
[16:07:42] 3614 MapPositions uncatched
[16:07:42] 14681 MapPositions catched
[16:07:42] 42 MapZaaps catched
[16:07:42] 79 MapSubways catched
[16:07:42] 15228 SpellLevels catched 
[16:07:42] 4772 Spells catched 
[16:07:42] 316 GuildEmblems catched 
[16:07:42] 1179 LearnableSpells catched 
[16:07:42] 9780 ItemTemplates catched 
[16:07:43] 4489 Weapons catched 
[16:07:43] 363 ItemSets catched 
[16:07:43] 171 ItemTypes catched 
[16:07:43] 110 ItemPets catched 
[16:07:43] 2476 NpcTemplates catched 
[16:07:43] 787 NpcSpawns catched 
[16:07:43] 94 NpcItems catched 
[16:07:43] 19801 NpcMessages catched 
[16:07:43] 7 NpcReplies catched 
[16:07:43] 353 Triggers catched
[16:07:44] 1277 Paddocks catched
[16:07:44] 72 Mounts catched
[16:07:44] 4 Guild catched
[16:07:44] 3 GuildMembers catched
[16:07:44] 122 Handlers Readed
[16:07:45] 166 Messages Readed
[16:07:45] WorldServer start in 11680 ms.
[16:20:46] MySQL Database Connected
[16:20:46] 16 Breeds catched
[16:20:46] 256 Heads catched
[16:20:46] 561 Effects catched
[16:20:47] 4 SuperAreas catched
[16:20:47] 48 Areas catched
[16:20:48] 334 SubAreas catched
[16:21:02] 11260 DofusMaps catched
[16:21:02] 9761 StatedElements catched
[16:21:03] 13349 InteractiveElements catched
[16:21:03] 1485 HouseInformations catched
[16:21:03] 556 InteractiveDoors catched
[16:21:03] 3614 MapPositions uncatched
[16:21:03] 14681 MapPositions catched
[16:21:03] 42 MapZaaps catched
[16:21:03] 79 MapSubways catched
[16:21:03] 15228 SpellLevels catched 
[16:21:03] 4772 Spells catched 
[16:21:03] 316 GuildEmblems catched 
[16:21:03] 1179 LearnableSpells catched 
[16:21:03] 9780 ItemTemplates catched 
[16:21:03] 4489 Weapons catched 
[16:21:03] 363 ItemSets catched 
[16:21:03] 171 ItemTypes catched 
[16:21:03] 110 ItemPets catched 
[16:21:04] 2476 NpcTemplates catched 
[16:21:04] 787 NpcSpawns catched 
[16:21:04] 94 NpcItems catched 
[16:21:04] 19801 NpcMessages catched 
[16:21:04] 7 NpcReplies catched 
[16:21:04] 353 Triggers catched
[16:21:04] 1277 Paddocks catched
[16:21:04] 72 Mounts catched
[16:21:04] 4 Guild catched
[16:21:04] 3 GuildMembers catched
[16:21:05] 122 Handlers Readed
[16:21:05] 166 Messages Readed
[16:21:05] WorldServer start in 19380 ms.
[16:40:03] MySQL Database Connected
[16:40:03] 16 Breeds catched
[16:40:03] 256 Heads catched
[16:40:03] 561 Effects catched
[16:40:03] 4 SuperAreas catched
[16:40:03] 48 Areas catched
[16:40:04] 334 SubAreas catched
[16:40:14] 11260 DofusMaps catched
[16:40:14] 9761 StatedElements catched
[16:40:15] 13349 InteractiveElements catched
[16:40:15] 1485 HouseInformations catched
[16:40:15] 556 InteractiveDoors catched
[16:40:15] 3614 MapPositions uncatched
[16:40:15] 14681 MapPositions catched
[16:40:15] 42 MapZaaps catched
[16:40:15] 79 MapSubways catched
[16:40:15] 15228 SpellLevels catched 
[16:40:15] 4772 Spells catched 
[16:40:15] 316 GuildEmblems catched 
[16:40:15] 1179 LearnableSpells catched 
[16:40:15] 9780 ItemTemplates catched 
[16:40:15] 4489 Weapons catched 
[16:40:15] 363 ItemSets catched 
[16:40:15] 171 ItemTypes catched 
[16:40:16] 110 ItemPets catched 
[16:40:16] 2476 NpcTemplates catched 
[16:40:16] 787 NpcSpawns catched 
[16:40:16] 94 NpcItems catched 
[16:40:16] 19801 NpcMessages catched 
[16:40:16] 7 NpcReplies catched 
[16:40:16] 353 Triggers catched
[16:40:16] 1277 Paddocks catched
[16:40:16] 72 Mounts catched
[16:40:16] 4 Guild catched
[16:40:16] 3 GuildMembers catched
[16:40:17] 122 Handlers Readed
[16:40:18] 166 Messages Readed
[16:40:18] WorldServer start in 15144 ms.
[17:18:35] MySQL Database Connected
[17:18:35] 16 Breeds catched
[17:18:35] 256 Heads catched
[17:18:35] 561 Effects catched
[17:18:35] 4 SuperAreas catched
[17:18:35] 48 Areas catched
[17:18:36] 334 SubAreas catched
[17:18:44] 11260 DofusMaps catched
[17:18:44] 9761 StatedElements catched
[17:18:44] 13349 InteractiveElements catched
[17:18:44] 1485 HouseInformations catched
[17:18:44] 556 InteractiveDoors catched
[17:18:44] 3614 MapPositions uncatched
[17:18:44] 14681 MapPositions catched
[17:18:44] 42 MapZaaps catched
[17:18:44] 79 MapSubways catched
[17:18:44] 15228 SpellLevels catched 
[17:18:44] 4772 Spells catched 
[17:18:44] 316 GuildEmblems catched 
[17:18:44] 1179 LearnableSpells catched 
[17:18:45] 9780 ItemTemplates catched 
[17:18:45] 4489 Weapons catched 
[17:18:45] 363 ItemSets catched 
[17:18:45] 171 ItemTypes catched 
[17:18:45] 110 ItemPets catched 
[17:18:45] 2476 NpcTemplates catched 
[17:18:46] 787 NpcSpawns catched 
[17:18:46] 94 NpcItems catched 
[17:18:46] 19801 NpcMessages catched 
[17:18:46] 7 NpcReplies catched 
[17:18:46] 353 Triggers catched
[17:18:46] 1277 Paddocks catched
[17:18:46] 72 Mounts catched
[17:18:46] 4 Guild catched
[17:18:46] 3 GuildMembers catched
[17:18:46] 122 Handlers Readed
[17:18:47] 166 Messages Readed
[17:18:47] WorldServer start in 12639 ms.
[17:22:11] MySQL Database Connected
[17:22:11] 16 Breeds catched
[17:22:11] 256 Heads catched
[17:22:11] 561 Effects catched
[17:22:11] 4 SuperAreas catched
[17:22:11] 48 Areas catched
[17:22:12] 334 SubAreas catched
[17:22:19] 11260 DofusMaps catched
[17:22:19] 9761 StatedElements catched
[17:22:20] 13349 InteractiveElements catched
[17:22:20] 1485 HouseInformations catched
[17:22:20] 556 InteractiveDoors catched
[17:22:20] 3614 MapPositions uncatched
[17:22:20] 14681 MapPositions catched
[17:22:20] 42 MapZaaps catched
[17:22:20] 79 MapSubways catched
[17:22:20] 15228 SpellLevels catched 
[17:22:20] 4772 Spells catched 
[17:22:20] 316 GuildEmblems catched 
[17:22:20] 1179 LearnableSpells catched 
[17:22:20] 9780 ItemTemplates catched 
[17:22:20] 4489 Weapons catched 
[17:22:20] 363 ItemSets catched 
[17:22:20] 171 ItemTypes catched 
[17:22:21] 110 ItemPets catched 
[17:22:21] 2476 NpcTemplates catched 
[17:22:21] 787 NpcSpawns catched 
[17:22:21] 94 NpcItems catched 
[17:22:21] 19801 NpcMessages catched 
[17:22:21] 7 NpcReplies catched 
[17:22:21] 353 Triggers catched
[17:22:21] 1277 Paddocks catched
[17:22:21] 72 Mounts catched
[17:22:21] 4 Guild catched
[17:22:21] 3 GuildMembers catched
[17:22:22] 122 Handlers Readed
[17:22:22] 166 Messages Readed
[17:22:22] WorldServer start in 12206 ms.
[17:24:40] MySQL Database Connected
[17:24:40] 16 Breeds catched
[17:24:40] 256 Heads catched
[17:24:40] 561 Effects catched
[17:24:40] 4 SuperAreas catched
[17:24:40] 48 Areas catched
[17:24:41] 334 SubAreas catched
[17:24:49] 11260 DofusMaps catched
[17:24:49] 9761 StatedElements catched
[17:24:49] 13349 InteractiveElements catched
[17:24:49] 1485 HouseInformations catched
[17:24:49] 556 InteractiveDoors catched
[17:24:49] 3614 MapPositions uncatched
[17:24:49] 14681 MapPositions catched
[17:24:49] 42 MapZaaps catched
[17:24:49] 79 MapSubways catched
[17:24:49] 15228 SpellLevels catched 
[17:24:49] 4772 Spells catched 
[17:24:49] 316 GuildEmblems catched 
[17:24:49] 1179 LearnableSpells catched 
[17:24:50] 9780 ItemTemplates catched 
[17:24:50] 4489 Weapons catched 
[17:24:50] 363 ItemSets catched 
[17:24:50] 171 ItemTypes catched 
[17:24:50] 110 ItemPets catched 
[17:24:51] 2476 NpcTemplates catched 
[17:24:51] 787 NpcSpawns catched 
[17:24:51] 94 NpcItems catched 
[17:24:51] 19801 NpcMessages catched 
[17:24:51] 7 NpcReplies catched 
[17:24:51] 353 Triggers catched
[17:24:51] 1277 Paddocks catched
[17:24:51] 72 Mounts catched
[17:24:51] 4 Guild catched
[17:24:51] 3 GuildMembers catched
[17:24:52] 122 Handlers Readed
[17:24:52] 166 Messages Readed
[17:24:52] WorldServer start in 13104 ms.
[17:58:32] MySQL Database Connected
[17:58:33] 16 Breeds catched
[17:58:33] 256 Heads catched
[17:58:33] 561 Effects catched
[17:58:33] 4 SuperAreas catched
[17:58:33] 48 Areas catched
[17:58:34] 334 SubAreas catched
[17:58:42] 11260 DofusMaps catched
[17:58:42] 9761 StatedElements catched
[17:58:42] 13349 InteractiveElements catched
[17:58:42] 1485 HouseInformations catched
[17:58:42] 556 InteractiveDoors catched
[17:58:42] 3614 MapPositions uncatched
[17:58:42] 14681 MapPositions catched
[17:58:42] 42 MapZaaps catched
[17:58:42] 79 MapSubways catched
[17:58:43] 15228 SpellLevels catched 
[17:58:43] 4772 Spells catched 
[17:58:43] 316 GuildEmblems catched 
[17:58:43] 1179 LearnableSpells catched 
[17:58:43] 9780 ItemTemplates catched 
[17:58:43] 4489 Weapons catched 
[17:58:43] 363 ItemSets catched 
[17:58:43] 171 ItemTypes catched 
[17:58:43] 110 ItemPets catched 
[17:58:44] 2476 NpcTemplates catched 
[17:58:44] 787 NpcSpawns catched 
[17:58:44] 94 NpcItems catched 
[17:58:44] 19801 NpcMessages catched 
[17:58:44] 7 NpcReplies catched 
[17:58:44] 353 Triggers catched
[17:58:44] 1277 Paddocks catched
[17:58:44] 72 Mounts catched
[17:58:44] 4 Guild catched
[17:58:44] 3 GuildMembers catched
[17:58:45] 122 Handlers Readed
[17:58:45] 166 Messages Readed
[17:58:45] WorldServer start in 13119 ms.
[18:18:07] MySQL Database Connected
[18:18:07] 16 Breeds catched
[18:18:07] 256 Heads catched
[18:18:07] 561 Effects catched
[18:18:08] 4 SuperAreas catched
[18:18:08] 48 Areas catched
[18:18:09] 334 SubAreas catched
[18:18:16] 11260 DofusMaps catched
[18:18:16] 9761 StatedElements catched
[18:18:16] 13349 InteractiveElements catched
[18:18:16] 1485 HouseInformations catched
[18:18:16] 556 InteractiveDoors catched
[18:18:16] 3614 MapPositions uncatched
[18:18:16] 14681 MapPositions catched
[18:18:16] 42 MapZaaps catched
[18:18:16] 79 MapSubways catched
[18:18:17] 15228 SpellLevels catched 
[18:18:17] 4772 Spells catched 
[18:18:17] 316 GuildEmblems catched 
[18:18:17] 1179 LearnableSpells catched 
[18:18:17] 9780 ItemTemplates catched 
[18:18:17] 4489 Weapons catched 
[18:18:17] 363 ItemSets catched 
[18:18:17] 171 ItemTypes catched 
[18:18:17] 110 ItemPets catched 
[18:18:18] 2476 NpcTemplates catched 
[18:18:18] 787 NpcSpawns catched 
[18:18:18] 94 NpcItems catched 
[18:18:18] 19801 NpcMessages catched 
[18:18:18] 7 NpcReplies catched 
[18:18:18] 353 Triggers catched
[18:18:18] 1277 Paddocks catched
[18:18:18] 72 Mounts catched
[18:18:18] 4 Guild catched
[18:18:18] 3 GuildMembers catched
[18:18:19] 122 Handlers Readed
[18:18:19] 166 Messages Readed
[18:18:19] WorldServer start in 11999 ms.
[18:20:36] MySQL Database Connected
[18:20:36] 16 Breeds catched
[18:20:36] 256 Heads catched
[18:20:36] 561 Effects catched
[18:20:36] 4 SuperAreas catched
[18:20:36] 48 Areas catched
[18:20:37] 334 SubAreas catched
[18:20:45] 11260 DofusMaps catched
[18:20:45] 9761 StatedElements catched
[18:20:45] 13349 InteractiveElements catched
[18:20:45] 1485 HouseInformations catched
[18:20:45] 556 InteractiveDoors catched
[18:20:45] 3614 MapPositions uncatched
[18:20:45] 14681 MapPositions catched
[18:20:45] 42 MapZaaps catched
[18:20:45] 79 MapSubways catched
[18:20:46] 15228 SpellLevels catched 
[18:20:46] 4772 Spells catched 
[18:20:46] 316 GuildEmblems catched 
[18:20:46] 1179 LearnableSpells catched 
[18:20:46] 9780 ItemTemplates catched 
[18:20:46] 4489 Weapons catched 
[18:20:46] 363 ItemSets catched 
[18:20:46] 171 ItemTypes catched 
[18:20:46] 110 ItemPets catched 
[18:20:47] 2476 NpcTemplates catched 
[18:20:47] 787 NpcSpawns catched 
[18:20:47] 94 NpcItems catched 
[18:20:47] 19801 NpcMessages catched 
[18:20:47] 7 NpcReplies catched 
[18:20:47] 353 Triggers catched
[18:20:47] 1277 Paddocks catched
[18:20:47] 72 Mounts catched
[18:20:47] 4 Guild catched
[18:20:47] 3 GuildMembers catched
[18:20:48] 122 Handlers Readed
[18:20:48] 166 Messages Readed
[18:20:48] WorldServer start in 12606 ms.
[18:24:03] MySQL Database Connected
[18:24:03] 16 Breeds catched
[18:24:03] 256 Heads catched
[18:24:03] 561 Effects catched
[18:24:03] 4 SuperAreas catched
[18:24:03] 48 Areas catched
[18:24:04] 334 SubAreas catched
[18:24:13] 11260 DofusMaps catched
[18:24:13] 9761 StatedElements catched
[18:24:13] 13349 InteractiveElements catched
[18:24:13] 1485 HouseInformations catched
[18:24:13] 556 InteractiveDoors catched
[18:24:13] 3614 MapPositions uncatched
[18:24:13] 14681 MapPositions catched
[18:24:13] 42 MapZaaps catched
[18:24:13] 79 MapSubways catched
[18:24:13] 15228 SpellLevels catched 
[18:24:13] 4772 Spells catched 
[18:24:13] 316 GuildEmblems catched 
[18:24:13] 1179 LearnableSpells catched 
[18:24:14] 9780 ItemTemplates catched 
[18:24:14] 4489 Weapons catched 
[18:24:14] 363 ItemSets catched 
[18:24:14] 171 ItemTypes catched 
[18:24:14] 110 ItemPets catched 
[18:24:14] 2476 NpcTemplates catched 
[18:24:14] 787 NpcSpawns catched 
[18:24:14] 94 NpcItems catched 
[18:24:14] 19801 NpcMessages catched 
[18:24:14] 7 NpcReplies catched 
[18:24:15] 353 Triggers catched
[18:24:15] 1277 Paddocks catched
[18:24:15] 72 Mounts catched
[18:24:15] 4 Guild catched
[18:24:15] 3 GuildMembers catched
[18:24:15] 122 Handlers Readed
[18:24:16] 166 Messages Readed
[18:24:16] WorldServer start in 13134 ms.
[18:25:18] MySQL Database Connected
[18:25:18] 16 Breeds catched
[18:25:18] 256 Heads catched
[18:25:18] 561 Effects catched
[18:25:18] 4 SuperAreas catched
[18:25:18] 48 Areas catched
[18:25:19] 334 SubAreas catched
[18:25:27] 11260 DofusMaps catched
[18:25:27] 9761 StatedElements catched
[18:25:27] 13349 InteractiveElements catched
[18:25:27] 1485 HouseInformations catched
[18:25:27] 556 InteractiveDoors catched
[18:25:27] 3614 MapPositions uncatched
[18:25:27] 14681 MapPositions catched
[18:25:27] 42 MapZaaps catched
[18:25:27] 79 MapSubways catched
[18:25:27] 15228 SpellLevels catched 
[18:25:27] 4772 Spells catched 
[18:25:27] 316 GuildEmblems catched 
[18:25:27] 1179 LearnableSpells catched 
[18:25:28] 9780 ItemTemplates catched 
[18:25:28] 4489 Weapons catched 
[18:25:28] 363 ItemSets catched 
[18:25:28] 171 ItemTypes catched 
[18:25:28] 110 ItemPets catched 
[18:25:28] 2476 NpcTemplates catched 
[18:25:28] 787 NpcSpawns catched 
[18:25:28] 94 NpcItems catched 
[18:25:28] 19801 NpcMessages catched 
[18:25:28] 7 NpcReplies catched 
[18:25:29] 353 Triggers catched
[18:25:29] 1277 Paddocks catched
[18:25:29] 72 Mounts catched
[18:25:29] 4 Guild catched
[18:25:29] 3 GuildMembers catched
[18:25:29] 122 Handlers Readed
[18:25:30] 166 Messages Readed
[18:25:30] WorldServer start in 12280 ms.
[18:32:41] MySQL Database Connected
[18:32:41] 16 Breeds catched
[18:32:41] 256 Heads catched
[18:32:41] 561 Effects catched
[18:32:41] 4 SuperAreas catched
[18:32:41] 48 Areas catched
[18:32:42] 334 SubAreas catched
[18:32:50] 11260 DofusMaps catched
[18:32:50] 9761 StatedElements catched
[18:32:51] 13349 InteractiveElements catched
[18:32:51] 1485 HouseInformations catched
[18:32:51] 556 InteractiveDoors catched
[18:32:51] 3614 MapPositions uncatched
[18:32:51] 14681 MapPositions catched
[18:32:51] 42 MapZaaps catched
[18:32:51] 79 MapSubways catched
[18:32:51] 15228 SpellLevels catched 
[18:32:51] 4772 Spells catched 
[18:32:51] 316 GuildEmblems catched 
[18:32:51] 1179 LearnableSpells catched 
[18:32:51] 9780 ItemTemplates catched 
[18:32:51] 4489 Weapons catched 
[18:32:51] 363 ItemSets catched 
[18:32:51] 171 ItemTypes catched 
[18:32:51] 110 ItemPets catched 
[18:32:52] 2476 NpcTemplates catched 
[18:32:52] 787 NpcSpawns catched 
[18:32:52] 94 NpcItems catched 
[18:32:52] 19801 NpcMessages catched 
[18:32:52] 7 NpcReplies catched 
[18:32:52] 353 Triggers catched
[18:32:52] 1277 Paddocks catched
[18:32:52] 72 Mounts catched
[18:32:52] 4 Guild catched
[18:32:52] 3 GuildMembers catched
[18:32:53] 122 Handlers Readed
[18:32:53] 166 Messages Readed
[18:32:53] WorldServer start in 12856 ms.
[18:41:13] MySQL Database Connected
[18:41:13] 16 Breeds catched
[18:41:13] 256 Heads catched
[18:41:13] 561 Effects catched
[18:41:13] 4 SuperAreas catched
[18:41:13] 48 Areas catched
[18:41:14] 334 SubAreas catched
[18:41:23] 11260 DofusMaps catched
[18:41:23] 9761 StatedElements catched
[18:41:23] 13349 InteractiveElements catched
[18:41:23] 1485 HouseInformations catched
[18:41:23] 556 InteractiveDoors catched
[18:41:23] 3614 MapPositions uncatched
[18:41:23] 14681 MapPositions catched
[18:41:23] 42 MapZaaps catched
[18:41:23] 79 MapSubways catched
[18:41:23] 15228 SpellLevels catched 
[18:41:23] 4772 Spells catched 
[18:41:23] 316 GuildEmblems catched 
[18:41:23] 1179 LearnableSpells catched 
[18:41:23] 9780 ItemTemplates catched 
[18:41:24] 4489 Weapons catched 
[18:41:24] 363 ItemSets catched 
[18:41:24] 171 ItemTypes catched 
[18:41:24] 110 ItemPets catched 
[18:41:24] 2476 NpcTemplates catched 
[18:41:24] 787 NpcSpawns catched 
[18:41:24] 94 NpcItems catched 
[18:41:24] 19801 NpcMessages catched 
[18:41:24] 7 NpcReplies catched 
[18:41:24] 353 Triggers catched
[18:41:24] 1277 Paddocks catched
[18:41:24] 72 Mounts catched
[18:41:24] 4 Guild catched
[18:41:24] 3 GuildMembers catched
[18:41:25] 122 Handlers Readed
[18:41:25] 166 Messages Readed
[18:41:26] WorldServer start in 13066 ms.
[18:43:22] MySQL Database Connected
[18:43:22] 16 Breeds catched
[18:43:22] 256 Heads catched
[18:43:22] 561 Effects catched
[18:43:23] 4 SuperAreas catched
[18:43:23] 48 Areas catched
[18:43:24] 334 SubAreas catched
[18:43:31] 11260 DofusMaps catched
[18:43:31] 9761 StatedElements catched
[18:43:31] 13349 InteractiveElements catched
[18:43:31] 1485 HouseInformations catched
[18:43:31] 556 InteractiveDoors catched
[18:43:31] 3614 MapPositions uncatched
[18:43:31] 14681 MapPositions catched
[18:43:31] 42 MapZaaps catched
[18:43:31] 79 MapSubways catched
[18:43:32] 15228 SpellLevels catched 
[18:43:32] 4772 Spells catched 
[18:43:32] 316 GuildEmblems catched 
[18:43:32] 1179 LearnableSpells catched 
[18:43:32] 9780 ItemTemplates catched 
[18:43:32] 4489 Weapons catched 
[18:43:32] 363 ItemSets catched 
[18:43:32] 171 ItemTypes catched 
[18:43:32] 110 ItemPets catched 
[18:43:33] 2476 NpcTemplates catched 
[18:43:33] 787 NpcSpawns catched 
[18:43:33] 94 NpcItems catched 
[18:43:33] 19801 NpcMessages catched 
[18:43:33] 7 NpcReplies catched 
[18:43:33] 353 Triggers catched
[18:43:33] 1277 Paddocks catched
[18:43:33] 72 Mounts catched
[18:43:33] 4 Guild catched
[18:43:33] 3 GuildMembers catched
[18:43:33] 122 Handlers Readed
[18:43:34] 166 Messages Readed
[18:43:34] WorldServer start in 12042 ms.
[18:59:17] MySQL Database Connected
[18:59:17] 16 Breeds catched
[18:59:17] 256 Heads catched
[18:59:17] 561 Effects catched
[18:59:17] 4 SuperAreas catched
[18:59:17] 48 Areas catched
[18:59:18] 334 SubAreas catched
[18:59:26] 11260 DofusMaps catched
[18:59:26] 9761 StatedElements catched
[18:59:26] 13349 InteractiveElements catched
[18:59:26] 1485 HouseInformations catched
[18:59:26] 556 InteractiveDoors catched
[18:59:26] 3614 MapPositions uncatched
[18:59:26] 14681 MapPositions catched
[18:59:26] 42 MapZaaps catched
[18:59:26] 79 MapSubways catched
[18:59:26] 15228 SpellLevels catched 
[18:59:26] 4772 Spells catched 
[18:59:26] 316 GuildEmblems catched 
[18:59:26] 1179 LearnableSpells catched 
[18:59:27] 9780 ItemTemplates catched 
[18:59:27] 4489 Weapons catched 
[18:59:27] 363 ItemSets catched 
[18:59:27] 171 ItemTypes catched 
[18:59:27] 110 ItemPets catched 
[18:59:27] 2476 NpcTemplates catched 
[18:59:27] 787 NpcSpawns catched 
[18:59:27] 94 NpcItems catched 
[18:59:27] 19801 NpcMessages catched 
[18:59:27] 7 NpcReplies catched 
[18:59:28] 353 Triggers catched
[18:59:28] 1277 Paddocks catched
[18:59:28] 72 Mounts catched
[18:59:28] 4 Guild catched
[18:59:28] 3 GuildMembers catched
[18:59:29] 122 Handlers Readed
[18:59:29] 166 Messages Readed
[18:59:29] WorldServer start in 12830 ms.
[19:52:41] MySQL Database Connected
[19:52:41] 16 Breeds catched
[19:52:41] 256 Heads catched
[19:52:41] 561 Effects catched
