[12:41:03] MySQL Database Connected
[12:41:04] 16 Breeds catched
[12:41:04] 256 Heads catched
[12:41:04] 561 Effects catched
[12:41:16] 11260 DofusMaps catched
[12:41:16] 454 StatedElements catched
[12:41:16] 802 InteractiveElements catched
[12:41:16] 74 HouseInformations catched
[12:41:16] 120 InteractiveDoors catched
[12:41:16] 3614 MapPositions uncatched
[12:41:16] 14681 MapPositions catched
[12:41:16] 42 MapZaaps catched
[12:41:16] 15228 SpellLevels catched 
[12:41:16] 4772 Spells catched 
[12:41:17] 1179 LearnableSpells catched 
[12:41:17] 9780 ItemTemplates catched 
[12:41:17] 4489 Weapons catched 
[12:41:17] 363 ItemSets catched 
[12:41:17] 171 ItemTypes catched 
[12:41:17] 110 ItemPets catched 
[12:41:17] 2476 NpcTemplates catched 
[12:41:17] 138 NpcSpawns catched 
[12:41:17] 50 NpcItems catched 
[12:41:17] 19801 NpcMessages catched 
[12:41:17] 6 NpcReplies catched 
[12:41:18] 18 Triggers catched
[12:41:19] 62 Handlers Readed
[12:41:21] 93 Messages Readed
[12:41:22] WorldServer start in 18330 ms.
[13:09:27] MySQL Database Connected
[13:09:27] 16 Breeds catched
[13:09:27] 256 Heads catched
[13:09:27] 561 Effects catched
[13:09:38] 11260 DofusMaps catched
[13:09:38] 454 StatedElements catched
[13:09:38] 802 InteractiveElements catched
[13:09:38] 74 HouseInformations catched
[13:09:38] 120 InteractiveDoors catched
[13:09:38] 3614 MapPositions uncatched
[13:09:38] 14681 MapPositions catched
[13:09:38] 42 MapZaaps catched
[13:09:38] 15228 SpellLevels catched 
[13:09:38] 4772 Spells catched 
[13:09:38] 1179 LearnableSpells catched 
[13:09:39] 9780 ItemTemplates catched 
[13:09:39] 4489 Weapons catched 
[13:09:39] 363 ItemSets catched 
[13:09:39] 171 ItemTypes catched 
[13:09:39] 110 ItemPets catched 
[13:09:39] 2476 NpcTemplates catched 
[13:09:39] 138 NpcSpawns catched 
[13:09:39] 50 NpcItems catched 
[13:09:39] 19801 NpcMessages catched 
[13:09:39] 6 NpcReplies catched 
[13:09:39] 18 Triggers catched
[13:09:39] 62 Handlers Readed
[13:09:40] 93 Messages Readed
[13:09:40] WorldServer start in 12721 ms.
[13:12:08] MySQL Database Connected
[13:12:08] 16 Breeds catched
[13:12:08] 256 Heads catched
[13:12:08] 561 Effects catched
[13:12:20] 11260 DofusMaps catched
[13:12:20] 454 StatedElements catched
[13:12:20] 802 InteractiveElements catched
[13:12:20] 74 HouseInformations catched
[13:12:20] 120 InteractiveDoors catched
[13:12:20] 3614 MapPositions uncatched
[13:12:20] 14681 MapPositions catched
[13:12:20] 42 MapZaaps catched
[13:12:20] 15228 SpellLevels catched 
[13:12:20] 4772 Spells catched 
[13:12:20] 1179 LearnableSpells catched 
[13:12:20] 9780 ItemTemplates catched 
[13:12:20] 4489 Weapons catched 
[13:12:21] 363 ItemSets catched 
[13:12:21] 171 ItemTypes catched 
[13:12:21] 110 ItemPets catched 
[13:12:21] 2476 NpcTemplates catched 
[13:12:21] 138 NpcSpawns catched 
[13:12:21] 50 NpcItems catched 
[13:12:21] 19801 NpcMessages catched 
[13:12:21] 6 NpcReplies catched 
[13:12:21] 18 Triggers catched
[13:12:21] 62 Handlers Readed
[13:12:22] 93 Messages Readed
[13:12:22] WorldServer start in 13638 ms.
[13:13:52] MySQL Database Connected
[13:13:52] 16 Breeds catched
[13:13:52] 256 Heads catched
[13:13:52] 561 Effects catched
[13:14:00] 11260 DofusMaps catched
[13:14:00] 454 StatedElements catched
[13:14:00] 802 InteractiveElements catched
[13:14:00] 74 HouseInformations catched
[13:14:00] 120 InteractiveDoors catched
[13:14:00] 3614 MapPositions uncatched
[13:14:00] 14681 MapPositions catched
[13:14:00] 42 MapZaaps catched
[13:14:01] 15228 SpellLevels catched 
[13:14:01] 4772 Spells catched 
[13:14:01] 1179 LearnableSpells catched 
[13:14:01] 9780 ItemTemplates catched 
[13:14:01] 4489 Weapons catched 
[13:14:01] 363 ItemSets catched 
[13:14:01] 171 ItemTypes catched 
[13:14:01] 110 ItemPets catched 
[13:14:01] 2476 NpcTemplates catched 
[13:14:02] 138 NpcSpawns catched 
[13:14:02] 50 NpcItems catched 
[13:14:02] 19801 NpcMessages catched 
[13:14:02] 6 NpcReplies catched 
[13:14:02] 18 Triggers catched
[13:14:02] 62 Handlers Readed
[13:14:02] 93 Messages Readed
[13:14:02] WorldServer start in 10845 ms.
[13:18:35] MySQL Database Connected
[13:18:35] 16 Breeds catched
[13:18:35] 256 Heads catched
[13:18:35] 561 Effects catched
[13:18:44] 11260 DofusMaps catched
[13:18:44] 454 StatedElements catched
[13:18:44] 802 InteractiveElements catched
