[23:34:24] MySQL Database Connected
[23:34:24] 16 Breeds catched
[23:34:24] 256 Heads catched
[23:34:24] 561 Effects catched
[23:34:27] 4 SuperAreas catched
[23:34:27] 48 Areas catched
[23:34:28] 334 SubAreas catched
[23:34:37] 11260 DofusMaps catched
[23:34:37] 9761 StatedElements catched
[23:34:37] 13349 InteractiveElements catched
[23:34:37] 1485 HouseInformations catched
[23:34:37] 556 InteractiveDoors catched
[23:34:38] 3614 MapPositions uncatched
[23:34:38] 14681 MapPositions catched
[23:34:38] 42 MapZaaps catched
[23:34:38] 79 MapSubways catched
[23:34:38] 15228 SpellLevels catched 
[23:34:38] 4772 Spells catched 
[23:34:38] 316 GuildEmblems catched 
[23:34:38] 1179 LearnableSpells catched 
[23:34:39] 9780 ItemTemplates catched 
[23:34:39] 4489 Weapons catched 
[23:34:39] 363 ItemSets catched 
[23:34:39] 171 ItemTypes catched 
[23:34:39] 110 ItemPets catched 
[23:34:40] 2476 NpcTemplates catched 
[23:34:40] 787 NpcSpawns catched 
[23:34:40] 94 NpcItems catched 
[23:34:40] 19801 NpcMessages catched 
[23:34:40] 7 NpcReplies catched 
[23:34:41] 353 Triggers catched
[23:34:41] 1277 Paddocks catched
[23:34:41] 72 Mounts catched
[23:34:41] 4 Guild catched
[23:34:41] 3 GuildMembers catched
[23:34:45] 122 Handlers Readed
[23:34:51] 166 Messages Readed
[23:34:52] WorldServer start in 27941 ms.
