[11:08:32] MySQL Database Connected
[11:08:33] 16 Breeds catched
[11:08:33] 256 Heads catched
[11:08:33] 561 Effects catched
[11:08:45] 11260 DofusMaps catched
[11:08:45] 454 StatedElements catched
[11:08:45] 820 InteractiveElements catched
[11:08:45] 87 HouseInformations catched
[11:08:45] 120 InteractiveDoors catched
[11:08:46] 3614 MapPositions uncatched
[11:08:46] 14681 MapPositions catched
[11:08:46] 42 MapZaaps catched
[11:08:47] 15228 SpellLevels catched 
[11:08:47] 4772 Spells catched 
[11:08:47] 1179 LearnableSpells catched 
[11:08:47] 9780 ItemTemplates catched 
[11:08:47] 4489 Weapons catched 
[11:08:47] 363 ItemSets catched 
[11:08:47] 171 ItemTypes catched 
[11:08:48] 110 ItemPets catched 
[11:08:48] 2476 NpcTemplates catched 
[11:08:48] 138 NpcSpawns catched 
[11:08:48] 50 NpcItems catched 
[11:08:48] 19801 NpcMessages catched 
[11:08:48] 7 NpcReplies catched 
[11:08:48] 18 Triggers catched
[11:08:48] 5 Paddocks catched
[11:08:49] 72 Mounts catched
[11:08:50] 88 Handlers Readed
[11:08:51] 124 Messages Readed
[11:08:51] WorldServer start in 19675 ms.
[11:19:19] MySQL Database Connected
[11:19:19] 16 Breeds catched
[11:19:19] 256 Heads catched
[11:19:19] 561 Effects catched
[11:19:42] 11260 DofusMaps catched
[11:19:42] 454 StatedElements catched
[11:19:42] 820 InteractiveElements catched
[11:19:42] 87 HouseInformations catched
[11:19:42] 120 InteractiveDoors catched
[11:19:43] 3614 MapPositions uncatched
[11:19:43] 14681 MapPositions catched
[11:19:43] 42 MapZaaps catched
[11:19:43] 15228 SpellLevels catched 
[11:19:43] 4772 Spells catched 
[11:19:43] 1179 LearnableSpells catched 
[11:19:44] 9780 ItemTemplates catched 
[11:19:44] 4489 Weapons catched 
[11:19:44] 363 ItemSets catched 
[11:19:44] 171 ItemTypes catched 
[11:19:44] 110 ItemPets catched 
[11:19:44] 2476 NpcTemplates catched 
[11:19:44] 138 NpcSpawns catched 
[11:19:44] 50 NpcItems catched 
[11:19:44] 19801 NpcMessages catched 
[11:19:44] 7 NpcReplies catched 
[11:19:44] 18 Triggers catched
[11:19:44] 5 Paddocks catched
[11:19:44] 72 Mounts catched
[11:19:45] 88 Handlers Readed
[11:19:45] 124 Messages Readed
[11:19:45] WorldServer start in 26893 ms.
[11:34:07] MySQL Database Connected
[11:34:07] 16 Breeds catched
[11:34:07] 256 Heads catched
[11:34:07] 561 Effects catched
[11:34:16] 11260 DofusMaps catched
[11:34:16] 454 StatedElements catched
[11:34:16] 820 InteractiveElements catched
[11:34:16] 87 HouseInformations catched
[11:34:16] 120 InteractiveDoors catched
[11:34:17] 3614 MapPositions uncatched
[11:34:17] 14681 MapPositions catched
[11:34:17] 42 MapZaaps catched
[11:34:17] 15228 SpellLevels catched 
[11:34:17] 4772 Spells catched 
[11:34:17] 1179 LearnableSpells catched 
[11:34:17] 9780 ItemTemplates catched 
[11:34:17] 4489 Weapons catched 
[11:34:17] 363 ItemSets catched 
[11:34:17] 171 ItemTypes catched 
[11:34:17] 110 ItemPets catched 
[11:34:18] 2476 NpcTemplates catched 
[11:34:18] 138 NpcSpawns catched 
[11:34:18] 50 NpcItems catched 
[11:34:18] 19801 NpcMessages catched 
[11:34:18] 7 NpcReplies catched 
[11:34:18] 18 Triggers catched
[11:34:18] 5 Paddocks catched
[11:34:18] 72 Mounts catched
[11:34:18] 88 Handlers Readed
[11:34:19] 124 Messages Readed
[11:34:19] WorldServer start in 11810 ms.
[11:40:49] MySQL Database Connected
[11:40:49] 16 Breeds catched
[11:40:49] 256 Heads catched
[11:40:49] 561 Effects catched
[11:40:57] 11260 DofusMaps catched
[11:40:57] 454 StatedElements catched
[11:40:58] 820 InteractiveElements catched
[11:40:58] 87 HouseInformations catched
[11:40:58] 120 InteractiveDoors catched
[11:41:00] 3614 MapPositions uncatched
[11:41:00] 14681 MapPositions catched
[11:41:00] 42 MapZaaps catched
[11:41:00] 15228 SpellLevels catched 
[11:41:00] 4772 Spells catched 
[11:41:00] 1179 LearnableSpells catched 
[11:41:01] 9780 ItemTemplates catched 
[11:41:01] 4489 Weapons catched 
[11:41:01] 363 ItemSets catched 
[11:41:01] 171 ItemTypes catched 
[11:41:01] 110 ItemPets catched 
[11:41:02] 2476 NpcTemplates catched 
[11:41:02] 138 NpcSpawns catched 
[11:41:02] 50 NpcItems catched 
[11:41:02] 19801 NpcMessages catched 
[11:41:02] 7 NpcReplies catched 
[11:41:02] 18 Triggers catched
