[17:08:44] MySQL Database Connected
[17:08:45] 16 Breeds catched
[17:08:45] 256 Heads catched
[17:08:45] 561 Effects catched
[17:08:52] 11260 DofusMaps catched
[17:08:52] 454 StatedElements catched
[17:08:52] 802 InteractiveElements catched
[17:08:52] 74 HouseInformations catched
[17:08:52] 120 InteractiveDoors catched
[17:08:52] 3614 MapPositions uncatched
[17:08:52] 14681 MapPositions catched
[17:08:52] 42 MapZaaps catched
[17:08:53] 15228 SpellLevels catched 
[17:08:53] 4772 Spells catched 
[17:08:53] 1179 LearnableSpells catched 
[17:08:53] 9780 ItemTemplates catched 
[17:08:53] 4489 Weapons catched 
[17:08:53] 363 ItemSets catched 
[17:08:53] 171 ItemTypes catched 
[17:08:53] 110 ItemPets catched 
[17:08:54] 2476 NpcTemplates catched 
[17:08:54] 138 NpcSpawns catched 
[17:08:54] 50 NpcItems catched 
[17:08:54] 19801 NpcMessages catched 
[17:08:54] 6 NpcReplies catched 
[17:08:55] 18 Triggers catched
[17:08:55] 43 Handlers Readed
[17:08:55] 49 Messages Readed
[17:08:56] WorldServer start in 11713 ms.
[17:23:52] MySQL Database Connected
[17:23:52] 16 Breeds catched
[17:23:52] 256 Heads catched
[17:23:52] 561 Effects catched
[17:24:00] 11260 DofusMaps catched
[17:24:00] 454 StatedElements catched
[17:24:00] 802 InteractiveElements catched
[17:24:00] 74 HouseInformations catched
[17:24:00] 120 InteractiveDoors catched
[17:24:00] 3614 MapPositions uncatched
[17:24:00] 14681 MapPositions catched
[17:24:00] 42 MapZaaps catched
[17:24:01] 15228 SpellLevels catched 
[17:24:01] 4772 Spells catched 
[17:24:01] 1179 LearnableSpells catched 
[17:24:01] 9780 ItemTemplates catched 
[17:24:01] 4489 Weapons catched 
[17:24:01] 363 ItemSets catched 
[17:24:01] 171 ItemTypes catched 
[17:24:01] 110 ItemPets catched 
[17:24:01] 2476 NpcTemplates catched 
[17:24:01] 138 NpcSpawns catched 
[17:24:01] 50 NpcItems catched 
[17:24:01] 19801 NpcMessages catched 
[17:24:01] 6 NpcReplies catched 
[17:24:02] 18 Triggers catched
[17:24:02] 43 Handlers Readed
[17:24:02] 49 Messages Readed
[17:24:02] WorldServer start in 10382 ms.
[17:25:01] MySQL Database Connected
[17:25:01] 16 Breeds catched
[17:25:01] 256 Heads catched
[17:25:01] 561 Effects catched
[17:25:09] 11260 DofusMaps catched
[17:25:09] 454 StatedElements catched
[17:25:10] 802 InteractiveElements catched
[17:25:10] 74 HouseInformations catched
[17:25:10] 120 InteractiveDoors catched
[17:25:10] 3614 MapPositions uncatched
[17:25:10] 14681 MapPositions catched
