[14:04:45] MySQL Database Connected
[14:04:46] 16 Breeds catched
[14:04:46] 256 Heads catched
[14:04:46] 561 Effects catched
[14:04:55] 11260 DofusMaps catched
[14:04:55] 454 StatedElements catched
[14:04:55] 802 InteractiveElements catched
[14:04:55] 74 HouseInformations catched
[14:04:55] 118 InteractiveDoors catched
[14:04:57] 16 Triggers catched
[14:04:58] 3614 MapPositions uncatched
[14:04:58] 14681 MapPositions catched
[14:04:58] 42 MapZaaps catched
[14:04:58] 15228 SpellLevels catched 
[14:04:58] 4772 Spells catched 
[14:04:58] 1179 LearnableSpells catched 
[14:04:59] 9780 ItemTemplates catched 
[14:04:59] 4489 Weapons catched 
[14:04:59] 363 ItemSets catched 
[14:04:59] 171 ItemTypes catched 
[14:05:00] 39 Handlers Readed
[14:05:00] 43 Messages Readed
[14:05:00] WorldServer start in 15238 ms.
[14:09:02] MySQL Database Connected
[14:09:02] 16 Breeds catched
[14:09:02] 256 Heads catched
[14:09:02] 561 Effects catched
[14:09:11] 11260 DofusMaps catched
[14:09:11] 454 StatedElements catched
[14:09:11] 802 InteractiveElements catched
[14:09:11] 74 HouseInformations catched
[14:09:11] 118 InteractiveDoors catched
[14:09:11] 16 Triggers catched
[14:09:11] 3614 MapPositions uncatched
[14:09:11] 14681 MapPositions catched
[14:09:11] 42 MapZaaps catched
[14:09:11] 15228 SpellLevels catched 
[14:09:11] 4772 Spells catched 
[14:09:11] 1179 LearnableSpells catched 
[14:09:12] 9780 ItemTemplates catched 
[14:09:12] 4489 Weapons catched 
[14:09:12] 363 ItemSets catched 
[14:09:12] 171 ItemTypes catched 
[14:09:12] 39 Handlers Readed
[14:09:13] 43 Messages Readed
[14:09:13] WorldServer start in 10538 ms.
[14:09:51] MySQL Database Connected
[14:09:51] 16 Breeds catched
[14:09:51] 256 Heads catched
[14:09:51] 561 Effects catched
[14:10:00] 11260 DofusMaps catched
[14:10:00] 454 StatedElements catched
[14:10:00] 802 InteractiveElements catched
[14:10:00] 74 HouseInformations catched
[14:10:00] 118 InteractiveDoors catched
[14:10:01] 16 Triggers catched
[14:10:04] 3614 MapPositions uncatched
[14:10:04] 14681 MapPositions catched
[14:10:04] 42 MapZaaps catched
[14:10:05] 15228 SpellLevels catched 
[14:10:05] 4772 Spells catched 
[14:10:05] 1179 LearnableSpells catched 
[14:10:05] 9780 ItemTemplates catched 
[14:10:05] 4489 Weapons catched 
[14:10:05] 363 ItemSets catched 
[14:10:05] 171 ItemTypes catched 
[14:10:06] 39 Handlers Readed
[14:10:06] 43 Messages Readed
[14:10:06] WorldServer start in 15578 ms.
