[21:58:06] MySQL Database Connected
[21:58:06] 16 Breeds catched
[21:58:06] 256 Heads catched
[21:58:06] 561 Effects catched
[21:58:07] 4 SuperAreas catched
[21:58:07] 48 Areas catched
[21:58:08] 334 SubAreas catched
[21:58:20] 11260 DofusMaps catched
[21:58:20] 9761 StatedElements catched
[21:58:20] 13349 InteractiveElements catched
[21:58:20] 1485 HouseInformations catched
[21:58:20] 556 InteractiveDoors catched
[21:58:20] 3614 MapPositions uncatched
[21:58:20] 14681 MapPositions catched
[21:58:20] 42 MapZaaps catched
[21:58:20] 79 MapSubways catched
[21:58:20] 15228 SpellLevels catched 
[21:58:20] 4772 Spells catched 
[21:58:20] 316 GuildEmblems catched 
[21:58:20] 1179 LearnableSpells catched 
[21:58:21] 9780 ItemTemplates catched 
[21:58:21] 4489 Weapons catched 
[21:58:21] 363 ItemSets catched 
[21:58:21] 171 ItemTypes catched 
[21:58:21] 110 ItemPets catched 
[21:58:21] 2476 NpcTemplates catched 
[21:58:21] 787 NpcSpawns catched 
[21:58:21] 94 NpcItems catched 
[21:58:21] 19801 NpcMessages catched 
[21:58:21] 7 NpcReplies catched 
[21:58:22] 353 Triggers catched
[21:58:22] 1277 Paddocks catched
[21:58:22] 72 Mounts catched
[21:58:22] 4 Guild catched
[21:58:22] 3 GuildMembers catched
[21:58:23] 121 Handlers Readed
[21:58:24] 166 Messages Readed
[21:58:24] WorldServer start in 18058 ms.
