[11:22:17] MySQL Database Connected
[11:22:18] 16 Breeds catched
[11:22:18] 256 Heads catched
[11:22:18] 561 Effects catched
[11:22:18] 4 SuperAreas catched
[11:22:19] 48 Areas catched
[11:22:20] 334 SubAreas catched
[11:22:37] 11260 DofusMaps catched
[11:22:37] 9761 StatedElements catched
[11:22:38] 13349 InteractiveElements catched
[11:22:39] 1485 HouseInformations catched
[11:22:39] 556 InteractiveDoors catched
[11:22:39] 3614 MapPositions uncatched
[11:22:39] 14681 MapPositions catched
[11:22:39] 42 MapZaaps catched
[11:22:39] 79 MapSubways catched
[11:22:39] 15228 SpellLevels catched 
[11:22:39] 4772 Spells catched 
[11:22:39] 316 GuildEmblems catched 
[11:22:39] 1179 LearnableSpells catched 
[11:22:40] 9780 ItemTemplates catched 
[11:22:40] 4489 Weapons catched 
[11:22:40] 363 ItemSets catched 
[11:22:40] 171 ItemTypes catched 
[11:22:40] 110 ItemPets catched 
[11:22:41] 2476 NpcTemplates catched 
[11:22:41] 787 NpcSpawns catched 
[11:22:41] 94 NpcItems catched 
[11:22:41] 19801 NpcMessages catched 
[11:22:41] 7 NpcReplies catched 
[11:22:41] 353 Triggers catched
[11:22:41] 1277 Paddocks catched
[11:22:41] 72 Mounts catched
[11:22:41] 4 Guild catched
[11:22:41] 3 GuildMembers catched
[11:22:43] 121 Handlers Readed
[11:22:46] 166 Messages Readed
[11:22:46] WorldServer start in 29489 ms.
[12:03:58] MySQL Database Connected
[12:03:59] 16 Breeds catched
[12:03:59] 256 Heads catched
[12:03:59] 561 Effects catched
[12:03:59] 4 SuperAreas catched
[12:03:59] 48 Areas catched
[12:04:00] 334 SubAreas catched
[12:05:52] 11260 DofusMaps catched
[12:05:52] 9761 StatedElements catched
[12:05:54] 13349 InteractiveElements catched
[12:05:54] 1485 HouseInformations catched
[12:05:54] 556 InteractiveDoors catched
[12:05:57] 3614 MapPositions uncatched
[12:05:57] 14681 MapPositions catched
[12:05:57] 42 MapZaaps catched
[12:05:57] 79 MapSubways catched
[12:06:01] 15228 SpellLevels catched 
[12:06:03] 4772 Spells catched 
[12:06:03] 316 GuildEmblems catched 
[12:06:03] 1179 LearnableSpells catched 
[12:06:06] 9780 ItemTemplates catched 
[12:06:09] 4489 Weapons catched 
[12:06:10] 363 ItemSets catched 
[12:06:10] 171 ItemTypes catched 
[12:06:11] 110 ItemPets catched 
[12:06:13] 2476 NpcTemplates catched 
[12:06:13] 787 NpcSpawns catched 
[12:06:13] 94 NpcItems catched 
[12:06:13] 19801 NpcMessages catched 
[12:06:13] 7 NpcReplies catched 
[12:06:13] 353 Triggers catched
[12:06:14] 1277 Paddocks catched
[12:06:14] 72 Mounts catched
[12:06:14] 4 Guild catched
[12:06:14] 3 GuildMembers catched
[12:06:14] 121 Handlers Readed
[12:06:15] 166 Messages Readed
[12:06:15] WorldServer start in 136527 ms.
[12:07:31] MySQL Database Connected
[12:07:31] 16 Breeds catched
[12:07:31] 256 Heads catched
[12:07:31] 561 Effects catched
[12:07:31] 4 SuperAreas catched
[12:07:31] 48 Areas catched
[12:07:32] 334 SubAreas catched
[12:07:40] 11260 DofusMaps catched
[12:07:40] 9761 StatedElements catched
[12:07:40] 13349 InteractiveElements catched
[12:07:40] 1485 HouseInformations catched
[12:07:40] 556 InteractiveDoors catched
[12:07:40] 3614 MapPositions uncatched
[12:07:40] 14681 MapPositions catched
[12:07:40] 42 MapZaaps catched
[12:07:40] 79 MapSubways catched
[12:07:40] 15228 SpellLevels catched 
[12:07:40] 4772 Spells catched 
[12:07:40] 316 GuildEmblems catched 
[12:07:40] 1179 LearnableSpells catched 
[12:07:41] 9780 ItemTemplates catched 
[12:07:41] 4489 Weapons catched 
[12:07:41] 363 ItemSets catched 
[12:07:41] 171 ItemTypes catched 
[12:07:41] 110 ItemPets catched 
[12:07:41] 2476 NpcTemplates catched 
[12:07:41] 787 NpcSpawns catched 
[12:07:41] 94 NpcItems catched 
[12:07:42] 19801 NpcMessages catched 
[12:07:42] 7 NpcReplies catched 
[12:07:42] 353 Triggers catched
[12:07:42] 1277 Paddocks catched
[12:07:42] 72 Mounts catched
[12:07:42] 4 Guild catched
[12:07:42] 3 GuildMembers catched
[12:07:42] 121 Handlers Readed
[12:07:43] 166 Messages Readed
[12:07:43] WorldServer start in 12459 ms.
[12:17:03] MySQL Database Connected
[12:17:03] 16 Breeds catched
[12:17:03] 256 Heads catched
[12:17:03] 561 Effects catched
[12:17:03] 4 SuperAreas catched
[12:17:03] 48 Areas catched
[12:17:04] 334 SubAreas catched
[12:17:12] 11260 DofusMaps catched
[12:17:12] 9761 StatedElements catched
[12:17:12] 13349 InteractiveElements catched
[12:17:12] 1485 HouseInformations catched
[12:17:12] 556 InteractiveDoors catched
[12:17:13] 3614 MapPositions uncatched
[12:17:13] 14681 MapPositions catched
[12:17:13] 42 MapZaaps catched
[12:17:13] 79 MapSubways catched
[12:17:13] 15228 SpellLevels catched 
[12:17:13] 4772 Spells catched 
[12:17:13] 316 GuildEmblems catched 
[12:17:13] 1179 LearnableSpells catched 
[12:17:13] 9780 ItemTemplates catched 
[12:17:13] 4489 Weapons catched 
[12:17:13] 363 ItemSets catched 
[12:17:13] 171 ItemTypes catched 
[12:17:13] 110 ItemPets catched 
[12:17:14] 2476 NpcTemplates catched 
[12:17:14] 787 NpcSpawns catched 
[12:17:14] 94 NpcItems catched 
[12:17:14] 19801 NpcMessages catched 
[12:17:14] 7 NpcReplies catched 
[12:17:14] 353 Triggers catched
[12:17:14] 1277 Paddocks catched
[12:17:14] 72 Mounts catched
[12:17:14] 4 Guild catched
[12:17:14] 3 GuildMembers catched
[12:17:15] 121 Handlers Readed
[12:17:15] 166 Messages Readed
[12:17:15] WorldServer start in 13013 ms.
[12:27:33] MySQL Database Connected
[12:27:33] 16 Breeds catched
[12:27:33] 256 Heads catched
[12:27:33] 561 Effects catched
[12:27:34] 4 SuperAreas catched
[12:27:34] 48 Areas catched
[12:27:35] 334 SubAreas catched
[12:27:42] 11260 DofusMaps catched
[12:27:42] 9761 StatedElements catched
[12:27:42] 13349 InteractiveElements catched
[12:27:42] 1485 HouseInformations catched
[12:27:42] 556 InteractiveDoors catched
[12:27:42] 3614 MapPositions uncatched
[12:27:42] 14681 MapPositions catched
[12:27:42] 42 MapZaaps catched
[12:27:42] 79 MapSubways catched
[12:27:43] 15228 SpellLevels catched 
[12:27:43] 4772 Spells catched 
[12:27:43] 316 GuildEmblems catched 
[12:27:43] 1179 LearnableSpells catched 
[12:27:43] 9780 ItemTemplates catched 
[12:27:43] 4489 Weapons catched 
[12:27:43] 363 ItemSets catched 
[12:27:43] 171 ItemTypes catched 
[12:27:43] 110 ItemPets catched 
[12:27:44] 2476 NpcTemplates catched 
[12:27:44] 787 NpcSpawns catched 
[12:27:44] 94 NpcItems catched 
[12:27:44] 19801 NpcMessages catched 
[12:27:44] 7 NpcReplies catched 
[12:27:44] 353 Triggers catched
[12:27:44] 1277 Paddocks catched
[12:27:44] 72 Mounts catched
[12:27:44] 4 Guild catched
[12:27:44] 3 GuildMembers catched
[12:27:45] 121 Handlers Readed
[12:27:45] 166 Messages Readed
[12:27:45] WorldServer start in 12607 ms.
[12:36:11] MySQL Database Connected
[12:36:11] 16 Breeds catched
[12:36:11] 256 Heads catched
[12:36:11] 561 Effects catched
[12:36:12] 4 SuperAreas catched
[12:36:12] 48 Areas catched
[12:36:13] 334 SubAreas catched
[12:36:20] 11260 DofusMaps catched
[12:36:20] 9761 StatedElements catched
[12:36:21] 13349 InteractiveElements catched
[12:36:21] 1485 HouseInformations catched
[12:36:21] 556 InteractiveDoors catched
[12:36:21] 3614 MapPositions uncatched
[12:36:21] 14681 MapPositions catched
[12:36:21] 42 MapZaaps catched
[12:36:21] 79 MapSubways catched
[12:36:21] 15228 SpellLevels catched 
[12:36:21] 4772 Spells catched 
[12:36:21] 316 GuildEmblems catched 
[12:36:21] 1179 LearnableSpells catched 
[12:36:21] 9780 ItemTemplates catched 
[12:36:21] 4489 Weapons catched 
[12:36:21] 363 ItemSets catched 
[12:36:21] 171 ItemTypes catched 
[12:36:22] 110 ItemPets catched 
[12:36:22] 2476 NpcTemplates catched 
[12:36:22] 787 NpcSpawns catched 
[12:36:22] 94 NpcItems catched 
[12:36:22] 19801 NpcMessages catched 
[12:36:22] 7 NpcReplies catched 
[12:36:22] 353 Triggers catched
[12:36:22] 1277 Paddocks catched
[12:36:22] 72 Mounts catched
[12:36:22] 4 Guild catched
[12:36:22] 3 GuildMembers catched
[12:36:23] 121 Handlers Readed
[12:36:23] 166 Messages Readed
[12:36:24] WorldServer start in 12633 ms.
[12:37:11] MySQL Database Connected
[12:37:11] 16 Breeds catched
[12:37:11] 256 Heads catched
[12:37:11] 561 Effects catched
[12:37:12] 4 SuperAreas catched
[12:37:12] 48 Areas catched
[12:37:13] 334 SubAreas catched
[12:37:21] 11260 DofusMaps catched
[12:37:21] 9761 StatedElements catched
[12:37:21] 13349 InteractiveElements catched
[12:37:21] 1485 HouseInformations catched
[12:37:21] 556 InteractiveDoors catched
[12:37:21] 3614 MapPositions uncatched
[12:37:21] 14681 MapPositions catched
[12:37:21] 42 MapZaaps catched
[12:37:21] 79 MapSubways catched
[12:37:21] 15228 SpellLevels catched 
[12:37:21] 4772 Spells catched 
[12:37:21] 316 GuildEmblems catched 
[12:37:21] 1179 LearnableSpells catched 
[12:37:22] 9780 ItemTemplates catched 
[12:37:22] 4489 Weapons catched 
[12:37:22] 363 ItemSets catched 
[12:37:22] 171 ItemTypes catched 
[12:37:22] 110 ItemPets catched 
[12:37:22] 2476 NpcTemplates catched 
[12:37:22] 787 NpcSpawns catched 
[12:37:22] 94 NpcItems catched 
