[12:00:32] MySQL Database Connected
[12:00:33] 16 Breeds catched
[12:00:33] 256 Heads catched
[12:00:33] 561 Effects catched
[12:00:35] 4 SuperAreas catched
[12:00:35] 48 Areas catched
[12:00:36] 334 SubAreas catched
[12:02:38] 11260 DofusMaps catched
[12:02:38] 9761 StatedElements catched
[12:02:41] 13349 InteractiveElements catched
[12:02:42] 1485 HouseInformations catched
[12:02:42] 556 InteractiveDoors catched
[12:02:42] 3614 MapPositions uncatched
[12:02:42] 14681 MapPositions catched
[12:02:42] 42 MapZaaps catched
[12:02:42] 79 MapSubways catched
[12:02:43] 15228 SpellLevels catched 
[12:02:45] 4772 Spells catched 
[12:02:45] 316 GuildEmblems catched 
[12:02:46] 1179 LearnableSpells catched 
[12:02:47] 9780 ItemTemplates catched 
[12:02:51] 4489 Weapons catched 
[12:02:51] 363 ItemSets catched 
[12:02:51] 171 ItemTypes catched 
[12:02:53] 110 ItemPets catched 
[12:02:56] 2476 NpcTemplates catched 
[12:02:57] 787 NpcSpawns catched 
[12:02:57] 94 NpcItems catched 
[12:02:58] 19801 NpcMessages catched 
[12:02:58] 7 NpcReplies catched 
[12:03:00] 353 Triggers catched
[12:03:00] 1277 Paddocks catched
[12:03:01] 72 Mounts catched
[12:03:01] 4 Guild catched
[12:03:01] 3 GuildMembers catched
[12:03:14] 122 Handlers Readed
[12:03:31] 166 Messages Readed
[12:03:31] WorldServer start in 178828 ms.
[12:28:55] MySQL Database Connected
[12:28:55] 16 Breeds catched
[12:28:55] 256 Heads catched
[12:28:55] 561 Effects catched
[12:28:55] 4 SuperAreas catched
[12:28:55] 48 Areas catched
[12:28:56] 334 SubAreas catched
[12:29:04] 11260 DofusMaps catched
[12:29:04] 9761 StatedElements catched
[12:29:04] 13349 InteractiveElements catched
[12:29:04] 1485 HouseInformations catched
[12:29:04] 556 InteractiveDoors catched
[12:29:04] 3614 MapPositions uncatched
[12:29:04] 14681 MapPositions catched
[12:29:05] 42 MapZaaps catched
[12:29:05] 79 MapSubways catched
