[16:50:26] MySQL Database Connected
[16:50:27] 16 Breeds catched
[16:50:27] 256 Heads catched
[16:50:27] 561 Effects catched
[16:50:36] 4 SuperAreas catched
[16:50:36] 48 Areas catched
[16:50:38] 334 SubAreas catched
[16:51:30] 11260 DofusMaps catched
[16:51:30] 9761 StatedElements catched
[16:51:30] 13349 InteractiveElements catched
[16:51:30] 1485 HouseInformations catched
[16:51:30] 556 InteractiveDoors catched
[16:51:30] 3614 MapPositions uncatched
[16:51:30] 14681 MapPositions catched
[16:51:30] 42 MapZaaps catched
[16:51:30] 79 MapSubways catched
[16:51:31] 15228 SpellLevels catched 
[16:51:31] 4772 Spells catched 
[16:51:31] 316 GuildEmblems catched 
[16:51:31] 1179 LearnableSpells catched 
[16:51:31] 9780 ItemTemplates catched 
[16:51:32] 4489 Weapons catched 
[16:51:32] 363 ItemSets catched 
[16:51:32] 171 ItemTypes catched 
[16:51:32] 110 ItemPets catched 
[16:51:33] 2476 NpcTemplates catched 
[16:51:33] 787 NpcSpawns catched 
[16:51:33] 94 NpcItems catched 
[16:51:33] 19801 NpcMessages catched 
[16:51:33] 7 NpcReplies catched 
[16:51:33] 353 Triggers catched
[16:51:33] 1277 Paddocks catched
[16:51:33] 72 Mounts catched
[16:51:33] 4 Guild catched
[16:51:34] 3 GuildMembers catched
[16:51:36] 108 Handlers Readed
[16:51:43] 159 Messages Readed
[16:51:43] WorldServer start in 77029 ms.
[16:56:27] MySQL Database Connected
[16:56:28] 16 Breeds catched
[16:56:28] 256 Heads catched
[16:56:28] 561 Effects catched
[16:56:28] 4 SuperAreas catched
[16:56:28] 48 Areas catched
[16:56:29] 334 SubAreas catched
[16:56:36] 11260 DofusMaps catched
[16:56:36] 9761 StatedElements catched
[16:56:36] 13349 InteractiveElements catched
[16:56:37] 1485 HouseInformations catched
[16:56:37] 556 InteractiveDoors catched
[16:56:37] 3614 MapPositions uncatched
[16:56:37] 14681 MapPositions catched
[16:56:37] 42 MapZaaps catched
[16:56:37] 79 MapSubways catched
