[11:39:19] MySQL Database Connected
[11:39:20] 16 Breeds catched
[11:39:20] 256 Heads catched
[11:39:20] 561 Effects catched
[11:39:27] 11260 DofusMaps catched
[11:39:27] 454 StatedElements catched
[11:39:27] 802 InteractiveElements catched
[11:39:27] 74 HouseInformations catched
[11:39:27] 118 InteractiveDoors catched
[11:39:28] 16 Triggers catched
[11:39:28] 3614 MapPositions uncatched
[11:39:28] 14681 MapPositions catched
[11:39:28] 42 MapZaaps catched
[11:39:28] 15228 SpellLevels catched 
[11:39:28] 4772 Spells catched 
[11:39:28] 1179 LearnableSpells catched 
[11:39:29] 9780 ItemTemplates catched 
[11:39:29] 4489 Weapons catched 
[11:39:29] 363 ItemSets catched 
[11:39:29] 171 ItemTypes catched 
[11:39:29] 2476 NpcTemplates catched 
[11:39:29] 137 NpcSpawns catched 
[11:39:29] 22 NpcItems catched 
[11:39:30] 42 Handlers Readed
[11:39:31] 48 Messages Readed
[11:39:31] WorldServer start in 12197 ms.
[11:51:48] MySQL Database Connected
[11:51:49] 16 Breeds catched
[11:51:49] 256 Heads catched
[11:51:49] 561 Effects catched
[11:51:56] 11260 DofusMaps catched
[11:51:56] 454 StatedElements catched
[11:51:56] 802 InteractiveElements catched
[11:51:56] 74 HouseInformations catched
[11:51:56] 118 InteractiveDoors catched
[11:51:56] 16 Triggers catched
[11:51:56] 3614 MapPositions uncatched
[11:51:56] 14681 MapPositions catched
[11:51:56] 42 MapZaaps catched
[11:51:56] 15228 SpellLevels catched 
[11:51:57] 4772 Spells catched 
[11:51:57] 1179 LearnableSpells catched 
[11:51:57] 9780 ItemTemplates catched 
[11:51:57] 4489 Weapons catched 
[11:51:57] 363 ItemSets catched 
[11:51:57] 171 ItemTypes catched 
[11:51:57] 2476 NpcTemplates catched 
[11:51:57] 137 NpcSpawns catched 
[11:51:57] 22 NpcItems catched 
[11:51:58] 42 Handlers Readed
[11:51:58] 48 Messages Readed
[11:51:58] WorldServer start in 9742 ms.
[11:52:39] Packet not handled 5616
[12:02:35] MySQL Database Connected
[12:02:35] 16 Breeds catched
[12:02:35] 256 Heads catched
[12:02:35] 561 Effects catched
[12:02:43] 11260 DofusMaps catched
[12:02:43] 454 StatedElements catched
[12:02:43] 802 InteractiveElements catched
[12:02:43] 74 HouseInformations catched
[12:02:43] 118 InteractiveDoors catched
[12:02:44] 16 Triggers catched
[12:02:44] 3614 MapPositions uncatched
[12:02:44] 14681 MapPositions catched
[12:02:44] 42 MapZaaps catched
[12:02:44] 15228 SpellLevels catched 
[12:02:44] 4772 Spells catched 
[12:02:44] 1179 LearnableSpells catched 
[12:02:44] 9780 ItemTemplates catched 
[12:02:44] 4489 Weapons catched 
[12:02:44] 363 ItemSets catched 
[12:02:44] 171 ItemTypes catched 
[12:02:45] 2476 NpcTemplates catched 
[12:02:45] 137 NpcSpawns catched 
[12:02:45] 22 NpcItems catched 
[12:02:45] 42 Handlers Readed
[12:02:45] 48 Messages Readed
[12:02:45] WorldServer start in 10155 ms.
