[11:39:19] MySQL Database Connected
[12:04:14] MySQL Database Connected
[12:04:14] 16 Breeds catched
[12:04:14] 256 Heads catched
[12:04:14] 561 Effects catched
[12:04:22] 11260 DofusMaps catched
[12:04:22] 454 StatedElements catched
[12:04:22] 802 InteractiveElements catched
[12:04:22] 74 HouseInformations catched
[12:04:22] 118 InteractiveDoors catched
[12:04:22] 16 Triggers catched
[12:04:22] 3614 MapPositions uncatched
[12:04:22] 14681 MapPositions catched
[12:04:22] 42 MapZaaps catched
[12:04:22] 15228 SpellLevels catched 
[12:04:22] 4772 Spells catched 
[12:04:22] 1179 LearnableSpells catched 
[12:04:23] 9780 ItemTemplates catched 
[12:04:23] 4489 Weapons catched 
[12:04:23] 363 ItemSets catched 
[12:04:23] 171 ItemTypes catched 
[12:04:23] 2476 NpcTemplates catched 
[12:04:23] 137 NpcSpawns catched 
[12:04:23] 22 NpcItems catched 
[12:04:23] 42 Handlers Readed
[12:04:24] 48 Messages Readed
[12:04:24] WorldServer start in 9739 ms.
[22:31:08] MySQL Database Connected
[22:31:08] 16 Breeds catched
[22:31:08] 256 Heads catched
[22:31:08] 561 Effects catched
[22:31:17] 11260 DofusMaps catched
[22:31:17] 454 StatedElements catched
[22:31:17] 802 InteractiveElements catched
[22:31:17] 74 HouseInformations catched
[22:31:17] 118 InteractiveDoors catched
[22:31:17] 16 Triggers catched
[22:31:18] 3614 MapPositions uncatched
[22:31:18] 14681 MapPositions catched
[22:31:18] 42 MapZaaps catched
[22:31:18] 15228 SpellLevels catched 
[22:31:18] 4772 Spells catched 
[22:31:18] 1179 LearnableSpells catched 
[22:31:18] 9780 ItemTemplates catched 
[22:31:19] 4489 Weapons catched 
[22:31:19] 363 ItemSets catched 
[22:31:19] 171 ItemTypes catched 
[22:31:19] 2476 NpcTemplates catched 
[22:31:19] 137 NpcSpawns catched 
[22:31:19] 22 NpcItems catched 
[22:31:21] 42 Handlers Readed
[22:31:22] 48 Messages Readed
[22:31:23] WorldServer start in 15414 ms.
[22:34:24] MySQL Database Connected
[22:34:24] 16 Breeds catched
[22:34:24] 256 Heads catched
[22:34:24] 561 Effects catched
[22:34:33] 11260 DofusMaps catched
[22:34:33] 454 StatedElements catched
[22:34:33] 802 InteractiveElements catched
[22:34:33] 74 HouseInformations catched
[22:34:33] 118 InteractiveDoors catched
[22:34:34] 16 Triggers catched
[22:34:34] 3614 MapPositions uncatched
[22:34:34] 14681 MapPositions catched
[22:34:34] 42 MapZaaps catched
[22:34:34] 15228 SpellLevels catched 
[22:34:34] 4772 Spells catched 
[22:34:34] 1179 LearnableSpells catched 
[22:34:34] 9780 ItemTemplates catched 
[22:34:34] 4489 Weapons catched 
[22:34:34] 363 ItemSets catched 
[22:34:34] 171 ItemTypes catched 
[22:34:35] 2476 NpcTemplates catched 
[22:34:35] 137 NpcSpawns catched 
[22:34:35] 22 NpcItems catched 
[22:34:35] 42 Handlers Readed
[22:34:35] 48 Messages Readed
[22:34:35] WorldServer start in 11218 ms.
[22:36:22] MySQL Database Connected
[22:36:22] 16 Breeds catched
[22:36:22] 256 Heads catched
[22:36:22] 561 Effects catched
[22:36:30] 11260 DofusMaps catched
[22:36:30] 454 StatedElements catched
[22:36:30] 802 InteractiveElements catched
[22:36:30] 74 HouseInformations catched
[22:36:30] 118 InteractiveDoors catched
[22:36:30] 16 Triggers catched
[22:36:30] 3614 MapPositions uncatched
[22:36:30] 14681 MapPositions catched
[22:36:30] 42 MapZaaps catched
[22:36:30] 15228 SpellLevels catched 
[22:36:31] 4772 Spells catched 
[22:36:31] 1179 LearnableSpells catched 
[22:36:31] 9780 ItemTemplates catched 
[22:36:31] 4489 Weapons catched 
[22:36:31] 363 ItemSets catched 
[22:36:31] 171 ItemTypes catched 
[22:36:31] 2476 NpcTemplates catched 
[22:36:31] 137 NpcSpawns catched 
[22:36:31] 22 NpcItems catched 
[22:36:32] 42 Handlers Readed
[22:36:32] 48 Messages Readed
[22:36:32] WorldServer start in 10226 ms.
