[10:12:05] MySQL Database Connected
[10:12:06] 16 Breeds catched
[10:12:06] 256 Heads catched
[10:12:06] 561 Effects catched
[10:12:16] 11260 DofusMaps catched
[10:12:16] 9761 StatedElements catched
[10:12:16] 13350 InteractiveElements catched
[10:12:16] 1485 HouseInformations catched
[10:12:16] 666 InteractiveDoors catched
[10:12:17] 3614 MapPositions uncatched
[10:12:17] 14681 MapPositions catched
[10:12:17] 42 MapZaaps catched
[10:12:17] 15228 SpellLevels catched 
[10:12:17] 4772 Spells catched 
[10:12:17] 1179 LearnableSpells catched 
[10:12:17] 9780 ItemTemplates catched 
[10:12:18] 4489 Weapons catched 
[10:12:18] 363 ItemSets catched 
[10:12:18] 171 ItemTypes catched 
[10:12:18] 110 ItemPets catched 
[10:12:18] 2476 NpcTemplates catched 
[10:12:18] 787 NpcSpawns catched 
[10:12:18] 94 NpcItems catched 
[10:12:18] 19801 NpcMessages catched 
[10:12:18] 7 NpcReplies catched 
[10:12:19] 305 Triggers catched
[10:12:19] 1281 Paddocks catched
[10:12:19] 72 Mounts catched
[10:12:21] 96 Handlers Readed
[10:12:24] 125 Messages Readed
[10:12:24] WorldServer start in 18950 ms.
[10:13:50] MySQL Database Connected
[10:13:50] 16 Breeds catched
[10:13:50] 256 Heads catched
[10:13:50] 561 Effects catched
[10:14:00] 11260 DofusMaps catched
[10:14:00] 9761 StatedElements catched
[10:14:00] 13350 InteractiveElements catched
[10:14:00] 1485 HouseInformations catched
[10:14:00] 666 InteractiveDoors catched
[10:14:01] 3614 MapPositions uncatched
[10:14:01] 14681 MapPositions catched
[10:14:01] 42 MapZaaps catched
[10:14:05] 15228 SpellLevels catched 
[10:14:05] 4772 Spells catched 
[10:14:05] 1179 LearnableSpells catched 
[10:14:07] 9780 ItemTemplates catched 
[10:14:10] 4489 Weapons catched 
[10:14:12] 363 ItemSets catched 
[10:14:12] 171 ItemTypes catched 
[10:14:12] 110 ItemPets catched 
[10:14:14] 2476 NpcTemplates catched 
[10:14:14] 787 NpcSpawns catched 
[10:14:14] 94 NpcItems catched 
[10:14:15] 19801 NpcMessages catched 
[10:14:15] 7 NpcReplies catched 
[10:14:15] 305 Triggers catched
[10:14:15] 1281 Paddocks catched
[10:14:15] 72 Mounts catched
[10:14:15] 96 Handlers Readed
[10:14:16] 125 Messages Readed
[10:14:16] WorldServer start in 26130 ms.
[10:22:16] MySQL Database Connected
[10:22:16] 16 Breeds catched
[10:22:16] 256 Heads catched
[10:22:16] 561 Effects catched
[10:22:24] 11260 DofusMaps catched
[10:22:24] 9761 StatedElements catched
[10:22:24] 13350 InteractiveElements catched
[10:22:25] 1485 HouseInformations catched
[10:22:25] 666 InteractiveDoors catched
[10:22:25] 3614 MapPositions uncatched
[10:22:25] 14681 MapPositions catched
[10:22:25] 42 MapZaaps catched
[10:22:25] 15228 SpellLevels catched 
[10:22:25] 4772 Spells catched 
[10:22:25] 1179 LearnableSpells catched 
[10:22:25] 9780 ItemTemplates catched 
[10:22:25] 4489 Weapons catched 
[10:22:25] 363 ItemSets catched 
[10:22:25] 171 ItemTypes catched 
[10:22:25] 110 ItemPets catched 
[10:22:26] 2476 NpcTemplates catched 
[10:22:26] 787 NpcSpawns catched 
[10:22:26] 94 NpcItems catched 
[10:22:26] 19801 NpcMessages catched 
[10:22:26] 7 NpcReplies catched 
[10:22:26] 305 Triggers catched
[10:22:26] 1281 Paddocks catched
[10:22:26] 72 Mounts catched
[10:22:27] 96 Handlers Readed
[10:22:27] 125 Messages Readed
[10:22:27] WorldServer start in 11253 ms.
[12:15:23] MySQL Database Connected
[12:15:23] 16 Breeds catched
[12:15:23] 256 Heads catched
[12:15:23] 561 Effects catched
[12:15:24] 4 SuperAreas catched
[12:15:24] 48 Areas catched
[12:15:24] 334 SubAreas catched
[12:15:32] 11260 DofusMaps catched
[12:15:32] 9761 StatedElements catched
[12:15:32] 13350 InteractiveElements catched
[12:15:32] 1485 HouseInformations catched
[12:15:32] 666 InteractiveDoors catched
[12:15:32] 3614 MapPositions uncatched
[12:15:32] 14681 MapPositions catched
[12:15:32] 42 MapZaaps catched
[12:15:32] 15228 SpellLevels catched 
